帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
152,2025-01-01T00:19:41.250000,-470.598816,1002.403198,396.702271,0.204975,-0.166175,-0.863075,-0.430664,50.00,PERSP,36.00,24.00
153,2025-01-01T00:20:20.625000,-476.090454,999.779968,396.679688,0.210663,-0.155531,-0.862115,-0.433808,50.00,PERSP,36.00,24.00
154,2025-01-01T00:21:00,-481.829865,997.042664,396.707153,0.216304,-0.144891,-0.861022,-0.436876,50.00,PERSP,36.00,24.00
155,2025-01-01T00:21:39.375000,-487.735229,994.152466,396.690918,0.221923,-0.134206,-0.859793,-0.439882,50.00,PERSP,36.00,24.00
156,2025-01-01T00:22:18.750000,-493.962799,991.196838,396.777100,0.227466,-0.123577,-0.858439,-0.442798,50.00,PERSP,36.00,24.00
157,2025-01-01T00:22:58.125000,-500.196228,987.987488,396.721924,0.233032,-0.112819,-0.856937,-0.445675,50.00,PERSP,36.00,24.00
158,2025-01-01T00:23:37.500000,-506.739746,984.706787,396.763184,0.238522,-0.102119,-0.855313,-0.448463,50.00,PERSP,36.00,24.00
159,2025-01-01T00:24:16.875000,-513.301086,981.179565,396.682861,0.244025,-0.091304,-0.853539,-0.451206,50.00,PERSP,36.00,24.00
160,2025-01-01T00:24:56.250000,-520.222961,977.613708,396.734253,0.249434,-0.080586,-0.851650,-0.453850,50.00,PERSP,36.00,24.00
161,2025-01-01T00:25:35.625000,-527.281250,973.868896,396.776245,0.254814,-0.069837,-0.849627,-0.456429,50.00,PERSP,36.00,24.00
162,2025-01-01T00:26:15,-534.363464,969.885132,396.696045,0.260197,-0.058988,-0.847452,-0.458958,50.00,PERSP,36.00,24.00
163,2025-01-01T00:26:54.375000,-541.791565,965.849976,396.770508,0.265483,-0.048246,-0.845170,-0.461388,50.00,PERSP,36.00,24.00
164,2025-01-01T00:27:33.750000,-549.208313,961.554932,396.703369,0.270780,-0.037390,-0.842733,-0.463769,50.00,PERSP,36.00,24.00
165,2025-01-01T00:28:13.125000,-556.951050,957.194519,396.788086,0.275981,-0.026639,-0.840189,-0.466055,50.00,PERSP,36.00,24.00
166,2025-01-01T00:28:52.500000,-564.757935,952.619995,396.802368,0.281163,-0.015834,-0.837503,-0.468279,50.00,PERSP,36.00,24.00
167,2025-01-01T00:29:31.875000,-572.627319,947.829651,396.756714,0.286324,-0.004977,-0.834674,-0.470439,50.00,PERSP,36.00,24.00
168,2025-01-01T00:30:11.250000,-580.683899,942.896729,396.754639,0.291425,0.005847,-0.831723,-0.472519,50.00,PERSP,36.00,24.00
169,2025-01-01T00:30:50.625000,-589.036682,937.882874,396.886719,0.296431,0.016565,-0.828673,-0.474506,50.00,PERSP,36.00,24.00
170,2025-01-01T00:31:30,-597.276855,932.558167,396.825928,0.301460,0.027428,-0.825450,-0.476447,50.00,PERSP,36.00,24.00
171,2025-01-01T00:32:09.375000,-605.644470,927.061768,396.766724,0.306438,0.038280,-0.822100,-0.478311,50.00,PERSP,36.00,24.00
172,2025-01-01T00:32:48.750000,-614.254150,921.453979,396.815918,0.311332,0.049044,-0.818648,-0.480087,50.00,PERSP,36.00,24.00
173,2025-01-01T00:33:28.125000,-622.876770,915.611267,396.794922,0.316202,0.059857,-0.815049,-0.481797,50.00,PERSP,36.00,24.00
174,2025-01-01T00:34:07.500000,-631.570618,909.567810,396.750854,0.321030,0.070677,-0.811318,-0.483434,50.00,PERSP,36.00,24.00
175,2025-01-01T00:34:46.875000,-640.477478,903.399719,396.808716,0.325774,0.081409,-0.807486,-0.484984,50.00,PERSP,36.00,24.00
176,2025-01-01T00:35:26.250000,-649.168884,896.885498,396.618774,0.330549,0.092316,-0.803460,-0.486485,50.00,PERSP,36.00,24.00
177,2025-01-01T00:36:05.625000,-658.367249,890.400818,396.785522,0.335155,0.102940,-0.799409,-0.487873,50.00,PERSP,36.00,24.00
178,2025-01-01T00:36:45,-667.484558,883.646667,396.823486,0.339750,0.113641,-0.795199,-0.489199,50.00,PERSP,36.00,24.00
179,2025-01-01T00:37:24.375000,-676.649841,876.689026,396.848877,0.344297,0.124335,-0.790861,-0.490449,50.00,PERSP,36.00,24.00
180,2025-01-01T00:38:03.750000,-685.645203,869.426575,396.689331,0.348848,0.135149,-0.786341,-0.491638,50.00,PERSP,36.00,24.00
181,2025-01-01T00:38:43.125000,-695.045532,862.143799,396.820557,0.353252,0.145719,-0.781792,-0.492727,50.00,PERSP,36.00,24.00
182,2025-01-01T00:39:22.500000,-704.246765,854.548889,396.763306,0.357662,0.156414,-0.777058,-0.493754,50.00,PERSP,36.00,24.00
183,2025-01-01T00:40:01.875000,-713.719666,846.871155,396.894897,0.361957,0.166938,-0.772269,-0.494691,50.00,PERSP,36.00,24.00
184,2025-01-01T00:40:41.250000,-722.903198,838.851624,396.776611,0.366272,0.177628,-0.767272,-0.495567,50.00,PERSP,36.00,24.00
185,2025-01-01T00:41:20.625000,-732.412903,830.779541,396.910034,0.370455,0.188100,-0.762245,-0.496351,50.00,PERSP,36.00,24.00
186,2025-01-01T00:42:00,-741.590393,822.361084,396.764404,0.374662,0.198751,-0.756998,-0.497072,50.00,PERSP,36.00,24.00
187,2025-01-01T00:42:39.375000,-751.046204,813.873779,396.847046,0.378744,0.209200,-0.751717,-0.497705,50.00,PERSP,36.00,24.00
188,2025-01-01T00:43:18.750000,-760.088257,805.023499,396.595337,0.382861,0.219862,-0.746192,-0.498273,50.00,PERSP,36.00,24.00
189,2025-01-01T00:43:58.125000,-769.722473,796.239441,396.848511,0.386778,0.230122,-0.740743,-0.498744,50.00,PERSP,36.00,24.00
190,2025-01-01T00:44:37.500000,-778.829895,787.063110,396.684204,0.390749,0.240649,-0.735018,-0.499152,50.00,PERSP,36.00,24.00
191,2025-01-01T00:45:16.875000,-788.155090,777.804443,396.733276,0.394602,0.250985,-0.729260,-0.499476,50.00,PERSP,36.00,24.00
192,2025-01-01T00:45:56.250000,-797.411194,768.355530,396.746094,0.398400,0.261302,-0.723378,-0.499722,50.00,PERSP,36.00,24.00
193,2025-01-01T00:46:35.625000,-806.668823,758.746643,396.812988,0.402125,0.271546,-0.717403,-0.499891,50.00,PERSP,36.00,24.00
194,2025-01-01T00:47:15,-815.711609,748.907898,396.743774,0.405821,0.281840,-0.711261,-0.499983,50.00,PERSP,36.00,24.00
195,2025-01-01T00:47:54.375000,-824.685913,738.901489,396.673828,0.409453,0.292091,-0.705007,-0.499996,50.00,PERSP,36.00,24.00
196,2025-01-01T00:48:33.750000,-833.764587,728.791321,396.752686,0.412986,0.302193,-0.698707,-0.499931,50.00,PERSP,36.00,24.00
197,2025-01-01T00:49:13.125000,-842.614258,718.472534,396.710327,0.416483,0.312333,-0.692244,-0.499788,50.00,PERSP,36.00,24.00
198,2025-01-01T00:49:52.500000,-851.532288,708.051941,396.783691,0.419885,0.322336,-0.685731,-0.499569,50.00,PERSP,36.00,24.00
199,2025-01-01T00:50:31.875000,-860.161865,697.424133,396.697754,0.423259,0.332399,-0.679039,-0.499269,50.00,PERSP,36.00,24.00
