frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowcontrast,0001.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0001.png,2025-01-01T00:00:00,-7.963720,0.710754,1748.563477,0.195677,0.471218,0.064141,0.857642,50.00,PERSP,36.00,24.00
2,lowcontrast,0002.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0002.png,2025-01-01T00:00:20.240964,-7.964437,0.700486,1748.565063,0.195190,0.471108,0.064472,0.857788,50.00,PERSP,36.00,24.00
3,lowcontrast,0003.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0003.png,2025-01-01T00:00:40.481928,-7.965160,0.688168,1748.565430,0.194539,0.471030,0.064856,0.857951,50.00,PERSP,36.00,24.00
4,lowcontrast,0004.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0004.png,2025-01-01T00:01:00.722892,-7.967151,0.673139,1748.565063,0.193677,0.471055,0.065250,0.858102,50.00,PERSP,36.00,24.00
5,lowcontrast,0005.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0005.png,2025-01-01T00:01:20.963855,-7.967442,0.654472,1748.565430,0.192796,0.470860,0.065844,0.858362,50.00,PERSP,36.00,24.00
6,lowcontrast,0006.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0006.png,2025-01-01T00:01:41.204819,-7.969344,0.634488,1748.567139,0.191690,0.470786,0.066441,0.858604,50.00,PERSP,36.00,24.00
7,lowcontrast,0007.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0007.png,2025-01-01T00:02:01.445783,-7.972292,0.611953,1748.567627,0.190408,0.470746,0.067092,0.858860,50.00,PERSP,36.00,24.00
8,lowcontrast,0008.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0008.png,2025-01-01T00:02:21.686747,-7.974108,0.586225,1748.568115,0.188974,0.470698,0.067823,0.859147,50.00,PERSP,36.00,24.00
9,lowcontrast,0009.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0009.png,2025-01-01T00:02:41.927711,-7.975425,0.556819,1748.569214,0.187462,0.470509,0.068710,0.859511,50.00,PERSP,36.00,24.00
10,lowcontrast,0010.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0010.png,2025-01-01T00:03:02.168675,-7.978066,0.525230,1748.569824,0.185759,0.470363,0.069649,0.859885,50.00,PERSP,36.00,24.00
11,lowcontrast,0011.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0011.png,2025-01-01T00:03:22.409639,-7.979714,0.490602,1748.572998,0.183874,0.470240,0.070653,0.860275,50.00,PERSP,36.00,24.00
12,lowcontrast,0012.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0012.png,2025-01-01T00:03:42.650602,-7.982302,0.453031,1748.573608,0.181844,0.470072,0.071763,0.860706,50.00,PERSP,36.00,24.00
13,lowcontrast,0013.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0013.png,2025-01-01T00:04:02.891566,-7.984698,0.412921,1748.575439,0.179639,0.469901,0.072955,0.861162,50.00,PERSP,36.00,24.00
14,lowcontrast,0014.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0014.png,2025-01-01T00:04:23.132530,-7.986479,0.368634,1748.576660,0.177274,0.469694,0.074249,0.861655,50.00,PERSP,36.00,24.00
15,lowcontrast,0015.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0015.png,2025-01-01T00:04:43.373494,-7.988046,0.320786,1748.578125,0.174765,0.469415,0.075666,0.862196,50.00,PERSP,36.00,24.00
16,lowcontrast,0016.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0016.png,2025-01-01T00:05:03.614458,-7.991117,0.270850,1748.577148,0.172008,0.469234,0.077114,0.862720,50.00,PERSP,36.00,24.00
17,lowcontrast,0017.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0017.png,2025-01-01T00:05:23.855422,-7.992005,0.216927,1748.579834,0.169113,0.468954,0.078703,0.863301,50.00,PERSP,36.00,24.00
18,lowcontrast,0018.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0018.png,2025-01-01T00:05:44.096386,-7.993552,0.159396,1748.579590,0.166020,0.468669,0.080382,0.863901,50.00,PERSP,36.00,24.00
19,lowcontrast,0019.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0019.png,2025-01-01T00:06:04.337349,-7.994027,0.098780,1748.576416,0.162751,0.468328,0.082181,0.864539,50.00,PERSP,36.00,24.00
20,lowcontrast,0020.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0020.png,2025-01-01T00:06:24.578313,-7.996274,0.034936,1748.576782,0.159215,0.468082,0.084021,0.865154,50.00,PERSP,36.00,24.00
