frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowlight,0001.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0001.png,2025-01-01T00:00:00,-7.964103,0.710754,1748.563354,0.195677,0.471218,0.064141,0.857642,50.00,PERSP,36.00,24.00
2,lowlight,0002.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0002.png,2025-01-01T00:00:20.240964,-7.964432,0.700100,1748.564819,0.195190,0.471109,0.064472,0.857788,50.00,PERSP,36.00,24.00
3,lowlight,0003.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0003.png,2025-01-01T00:00:40.481928,-7.965160,0.688168,1748.565430,0.194539,0.471030,0.064856,0.857951,50.00,PERSP,36.00,24.00
4,lowlight,0004.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0004.png,2025-01-01T00:01:00.722892,-7.966772,0.673139,1748.565063,0.193677,0.471055,0.065250,0.858102,50.00,PERSP,36.00,24.00
5,lowlight,0005.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0005.png,2025-01-01T00:01:20.963855,-7.967442,0.654852,1748.565186,0.192796,0.470860,0.065844,0.858362,50.00,PERSP,36.00,24.00
6,lowlight,0006.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0006.png,2025-01-01T00:01:41.204819,-7.969326,0.634844,1748.566895,0.191690,0.470786,0.066441,0.858604,50.00,PERSP,36.00,24.00
7,lowlight,0007.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0007.png,2025-01-01T00:02:01.445783,-7.971937,0.611953,1748.567627,0.190408,0.470746,0.067092,0.858860,50.00,PERSP,36.00,24.00
8,lowlight,0008.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0008.png,2025-01-01T00:02:21.686747,-7.974488,0.586605,1748.568115,0.188974,0.470698,0.067823,0.859146,50.00,PERSP,36.00,24.00
9,lowlight,0009.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0009.png,2025-01-01T00:02:41.927711,-7.975829,0.557223,1748.569214,0.187462,0.470509,0.068710,0.859511,50.00,PERSP,36.00,24.00
10,lowlight,0010.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0010.png,2025-01-01T00:03:02.168675,-7.977686,0.525277,1748.569824,0.185759,0.470363,0.069649,0.859885,50.00,PERSP,36.00,24.00
11,lowlight,0011.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0011.png,2025-01-01T00:03:22.409639,-7.980060,0.490982,1748.572754,0.183874,0.470240,0.070653,0.860275,50.00,PERSP,36.00,24.00
12,lowlight,0012.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0012.png,2025-01-01T00:03:42.650602,-7.982717,0.453031,1748.573364,0.181844,0.470072,0.071763,0.860706,50.00,PERSP,36.00,24.00
13,lowlight,0013.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0013.png,2025-01-01T00:04:02.891566,-7.984236,0.412874,1748.575317,0.179639,0.469901,0.072955,0.861162,50.00,PERSP,36.00,24.00
14,lowlight,0014.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0014.png,2025-01-01T00:04:23.132530,-7.986907,0.369013,1748.576416,0.177274,0.469694,0.074249,0.861655,50.00,PERSP,36.00,24.00
15,lowlight,0015.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0015.png,2025-01-01T00:04:43.373494,-7.988805,0.321071,1748.577881,0.174765,0.469415,0.075666,0.862196,50.00,PERSP,36.00,24.00
16,lowlight,0016.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0016.png,2025-01-01T00:05:03.614458,-7.990737,0.271183,1748.577026,0.172008,0.469234,0.077114,0.862720,50.00,PERSP,36.00,24.00
17,lowlight,0017.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0017.png,2025-01-01T00:05:23.855422,-7.992698,0.217259,1748.579468,0.169113,0.468954,0.078703,0.863301,50.00,PERSP,36.00,24.00
18,lowlight,0018.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0018.png,2025-01-01T00:05:44.096386,-7.993998,0.158969,1748.579590,0.166020,0.468669,0.080382,0.863901,50.00,PERSP,36.00,24.00
19,lowlight,0019.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0019.png,2025-01-01T00:06:04.337349,-7.994027,0.099065,1748.576050,0.162751,0.468328,0.082181,0.864539,50.00,PERSP,36.00,24.00
20,lowlight,0020.png,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0020.png,2025-01-01T00:06:24.578313,-7.996369,0.034936,1748.576782,0.159215,0.468082,0.084021,0.865154,50.00,PERSP,36.00,24.00
