帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
49,2025-01-01T00:16:11.566265,0.142522,0.225851,1748.550781,0.833195,0.301268,-0.370392,0.278984,50.00,PERSP,36.00,24.00
50,2025-01-01T00:16:31.807229,0.151184,0.220440,1748.544556,0.837924,0.294758,-0.375618,0.264409,50.00,PERSP,36.00,24.00
51,2025-01-01T00:16:52.048193,0.158197,0.214934,1748.541870,0.842504,0.288005,-0.380835,0.249410,50.00,PERSP,36.00,24.00
52,2025-01-01T00:17:12.289157,0.166268,0.209095,1748.538452,0.846932,0.281021,-0.385971,0.234007,50.00,PERSP,36.00,24.00
53,2025-01-01T00:17:32.530120,0.174171,0.202972,1748.537354,0.851158,0.273824,-0.391046,0.218250,50.00,PERSP,36.00,24.00
54,2025-01-01T00:17:52.771084,0.181849,0.196184,1748.537354,0.855084,0.266421,-0.396174,0.202229,50.00,PERSP,36.00,24.00
55,2025-01-01T00:18:13.012048,0.188724,0.189254,1748.537109,0.858764,0.258843,-0.401183,0.185950,50.00,PERSP,36.00,24.00
56,2025-01-01T00:18:33.253012,0.195607,0.181801,1748.537842,0.862160,0.251111,-0.406081,0.169474,50.00,PERSP,36.00,24.00
57,2025-01-01T00:18:53.493976,0.201732,0.174159,1748.538574,0.865328,0.243271,-0.410701,0.152811,50.00,PERSP,36.00,24.00
58,2025-01-01T00:19:13.734940,0.209195,0.166161,1748.541138,0.867999,0.235284,-0.415533,0.136202,50.00,PERSP,36.00,24.00
59,2025-01-01T00:19:33.975904,0.215871,0.157996,1748.541138,0.870487,0.227270,-0.419911,0.119479,50.00,PERSP,36.00,24.00
60,2025-01-01T00:19:54.216867,0.221115,0.149630,1748.543579,0.872593,0.219201,-0.424211,0.102845,50.00,PERSP,36.00,24.00
61,2025-01-01T00:20:14.457831,0.227534,0.141222,1748.543945,0.874389,0.211134,-0.428272,0.086305,50.00,PERSP,36.00,24.00
62,2025-01-01T00:20:34.698795,0.232321,0.132768,1748.546387,0.875858,0.203093,-0.432128,0.069932,50.00,PERSP,36.00,24.00
63,2025-01-01T00:20:54.939759,0.237021,0.123855,1748.547974,0.877004,0.195105,-0.435780,0.053786,50.00,PERSP,36.00,24.00
64,2025-01-01T00:21:15.180723,0.240956,0.115311,1748.548462,0.877844,0.187201,-0.439213,0.037913,50.00,PERSP,36.00,24.00
65,2025-01-01T00:21:35.421687,0.244215,0.106541,1748.552124,0.878402,0.179414,-0.442403,0.022344,50.00,PERSP,36.00,24.00
66,2025-01-01T00:21:55.662651,0.248988,0.097902,1748.551514,0.878633,0.171725,-0.445491,0.007184,50.00,PERSP,36.00,24.00
67,2025-01-01T00:22:15.903614,0.251353,0.089761,1748.552246,0.878626,0.164199,-0.448327,-0.007602,50.00,PERSP,36.00,24.00
68,2025-01-01T00:22:36.144578,0.255078,0.081170,1748.552124,0.878455,0.156900,-0.450791,-0.022047,50.00,PERSP,36.00,24.00
69,2025-01-01T00:22:56.385542,0.256397,0.073670,1748.555908,0.877929,0.149676,-0.453376,-0.035902,50.00,PERSP,36.00,24.00
70,2025-01-01T00:23:16.626506,0.259233,0.065600,1748.554199,0.877250,0.142679,-0.455677,-0.049342,50.00,PERSP,36.00,24.00
71,2025-01-01T00:23:36.867470,0.260502,0.057768,1748.554810,0.876457,0.135942,-0.457659,-0.062382,50.00,PERSP,36.00,24.00
72,2025-01-01T00:23:57.108434,0.262569,0.050126,1748.556274,0.875489,0.129399,-0.459524,-0.074921,50.00,PERSP,36.00,24.00
73,2025-01-01T00:24:17.349398,0.264110,0.042958,1748.556641,0.874360,0.123045,-0.461297,-0.086948,50.00,PERSP,36.00,24.00
74,2025-01-01T00:24:37.590361,0.265418,0.035838,1748.557861,0.873133,0.116928,-0.462884,-0.098518,50.00,PERSP,36.00,24.00
75,2025-01-01T00:24:57.831325,0.265800,0.029382,1748.558350,0.871814,0.111036,-0.464322,-0.109620,50.00,PERSP,36.00,24.00
