帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
159,2025-01-01T00:24:16.875000,-8.622643,25.872812,0.008301,0.353347,-0.149417,-0.814385,-0.435428,50.00,PERSP,36.00,24.00
160,2025-01-01T00:24:56.250000,-9.026875,25.735346,0.000244,0.358463,-0.139136,-0.811807,-0.439449,50.00,PERSP,36.00,24.00
161,2025-01-01T00:25:35.625000,-9.444019,25.586203,0.008423,0.363532,-0.128815,-0.809098,-0.443409,50.00,PERSP,36.00,24.00
162,2025-01-01T00:26:15,-9.867575,25.423483,0.010742,0.368586,-0.118389,-0.806240,-0.447332,50.00,PERSP,36.00,24.00
163,2025-01-01T00:26:54.375000,-10.306978,25.250511,0.015991,0.373529,-0.108056,-0.803287,-0.451143,50.00,PERSP,36.00,24.00
164,2025-01-01T00:27:33.750000,-10.753090,25.062634,0.017944,0.378462,-0.097604,-0.800179,-0.454921,50.00,PERSP,36.00,24.00
165,2025-01-01T00:28:13.125000,-11.212564,24.861940,0.026245,0.383286,-0.087244,-0.796979,-0.458590,50.00,PERSP,36.00,24.00
166,2025-01-01T00:28:52.500000,-11.679281,24.646532,0.030518,0.388074,-0.076821,-0.793639,-0.462206,50.00,PERSP,36.00,24.00
167,2025-01-01T00:29:31.875000,-12.153654,24.414986,0.039917,0.392822,-0.066339,-0.790160,-0.465765,50.00,PERSP,36.00,24.00
168,2025-01-01T00:30:11.250000,-12.635923,24.167774,0.048340,0.397493,-0.055879,-0.786569,-0.469240,50.00,PERSP,36.00,24.00
169,2025-01-01T00:30:50.625000,-13.128826,23.906227,0.053223,0.402058,-0.045513,-0.782891,-0.472609,50.00,PERSP,36.00,24.00
170,2025-01-01T00:31:30,-13.623690,23.626926,0.058716,0.406624,-0.034995,-0.779040,-0.475951,50.00,PERSP,36.00,24.00
171,2025-01-01T00:32:09.375000,-14.123464,23.330065,0.057373,0.411122,-0.024479,-0.775069,-0.479215,50.00,PERSP,36.00,24.00
172,2025-01-01T00:32:48.750000,-14.629216,23.017159,0.056885,0.415523,-0.014039,-0.771007,-0.482381,50.00,PERSP,36.00,24.00
173,2025-01-01T00:33:28.125000,-15.136768,22.686119,0.058594,0.419882,-0.003542,-0.766804,-0.485488,50.00,PERSP,36.00,24.00
174,2025-01-01T00:34:07.500000,-15.645172,22.337610,0.060425,0.424181,0.006972,-0.762474,-0.488523,50.00,PERSP,36.00,24.00
175,2025-01-01T00:34:46.875000,-16.156990,21.972204,0.062744,0.428385,0.017410,-0.758056,-0.491461,50.00,PERSP,36.00,24.00
176,2025-01-01T00:35:26.250000,-16.659565,21.588001,0.064697,0.432593,0.028028,-0.753441,-0.494373,50.00,PERSP,36.00,24.00
177,2025-01-01T00:36:05.625000,-17.170961,21.188515,0.068481,0.436631,0.038379,-0.748823,-0.497136,50.00,PERSP,36.00,24.00
178,2025-01-01T00:36:45,-17.672539,20.771843,0.067627,0.440637,0.048815,-0.744049,-0.499846,50.00,PERSP,36.00,24.00
179,2025-01-01T00:37:24.375000,-18.171606,20.338558,0.066528,0.444579,0.059255,-0.739155,-0.502482,50.00,PERSP,36.00,24.00
180,2025-01-01T00:38:03.750000,-18.657028,19.889515,0.065430,0.448502,0.069821,-0.734080,-0.505073,50.00,PERSP,36.00,24.00
181,2025-01-01T00:38:43.125000,-19.143084,19.426420,0.061646,0.452274,0.080159,-0.728995,-0.507532,50.00,PERSP,36.00,24.00
182,2025-01-01T00:39:22.500000,-19.613392,18.948967,0.063477,0.456029,0.090628,-0.723726,-0.509946,50.00,PERSP,36.00,24.00
183,2025-01-01T00:40:01.875000,-20.079712,18.458929,0.059692,0.459661,0.100940,-0.718418,-0.512248,50.00,PERSP,36.00,24.00
184,2025-01-01T00:40:41.250000,-20.527012,17.956917,0.061646,0.463288,0.111424,-0.712900,-0.514512,50.00,PERSP,36.00,24.00
185,2025-01-01T00:41:20.625000,-20.967514,17.444504,0.060791,0.466778,0.121704,-0.707370,-0.516656,50.00,PERSP,36.00,24.00
186,2025-01-01T00:42:00,-21.386021,16.923237,0.059937,0.470265,0.132169,-0.701618,-0.518762,50.00,PERSP,36.00,24.00
187,2025-01-01T00:42:39.375000,-21.797262,16.393694,0.058960,0.473623,0.142447,-0.695850,-0.520753,50.00,PERSP,36.00,24.00
188,2025-01-01T00:43:18.750000,-22.183088,15.858521,0.054443,0.476984,0.152944,-0.689835,-0.522708,50.00,PERSP,36.00,24.00
189,2025-01-01T00:43:58.125000,-22.566866,15.317329,0.056885,0.480155,0.163054,-0.683921,-0.524515,50.00,PERSP,36.00,24.00
190,2025-01-01T00:44:37.500000,-22.921434,14.773677,0.052856,0.483345,0.173438,-0.677726,-0.526293,50.00,PERSP,36.00,24.00
191,2025-01-01T00:45:16.875000,-23.265209,14.227336,0.054810,0.486413,0.183644,-0.671515,-0.527963,50.00,PERSP,36.00,24.00
192,2025-01-01T00:45:56.250000,-23.591429,13.680390,0.044922,0.489412,0.193840,-0.665188,-0.529554,50.00,PERSP,36.00,24.00
193,2025-01-01T00:46:35.625000,-23.903023,13.134204,0.046753,0.492325,0.203974,-0.658778,-0.531058,50.00,PERSP,36.00,24.00
194,2025-01-01T00:47:15,-24.190950,12.590889,0.039917,0.495188,0.214168,-0.652206,-0.532493,50.00,PERSP,36.00,24.00
195,2025-01-01T00:47:54.375000,-24.463093,12.051040,0.032959,0.497972,0.224330,-0.645531,-0.533844,50.00,PERSP,36.00,24.00
196,2025-01-01T00:48:33.750000,-24.721863,11.514702,0.032227,0.500652,0.234354,-0.638824,-0.535098,50.00,PERSP,36.00,24.00
