帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
197,2025-01-01T01:06:07.228916,-7.393419,-3.041917,1747.818237,0.013416,-0.442402,-0.174170,-0.879639,50.00,PERSP,36.00,24.00
198,2025-01-01T01:06:27.469880,-7.452961,-2.893486,1747.830444,0.004667,-0.444179,-0.169729,-0.879702,50.00,PERSP,36.00,24.00
199,2025-01-01T01:06:47.710843,-7.507768,-2.747380,1747.849976,0.003949,0.445767,0.165398,0.879727,50.00,PERSP,36.00,24.00
200,2025-01-01T01:07:07.951807,-7.559865,-2.603268,1747.849609,0.012336,0.447362,0.161120,0.879634,50.00,PERSP,36.00,24.00
201,2025-01-01T01:07:28.192771,-7.605148,-2.461910,1747.870239,0.020571,0.448792,0.156957,0.879504,50.00,PERSP,36.00,24.00
202,2025-01-01T01:07:48.433735,-7.650291,-2.322972,1747.870728,0.028554,0.450258,0.152844,0.879256,50.00,PERSP,36.00,24.00
203,2025-01-01T01:08:08.674699,-7.689244,-2.186455,1747.886108,0.036383,0.451551,0.148856,0.878988,50.00,PERSP,36.00,24.00
204,2025-01-01T01:08:28.915663,-7.726025,-2.054020,1747.906006,0.043992,0.452805,0.144952,0.878647,50.00,PERSP,36.00,24.00
205,2025-01-01T01:08:49.156627,-7.760516,-1.923104,1747.909790,0.051345,0.454087,0.141107,0.878213,50.00,PERSP,36.00,24.00
206,2025-01-01T01:09:09.397590,-7.789854,-1.795986,1747.913330,0.058571,0.455137,0.137423,0.877801,50.00,PERSP,36.00,24.00
207,2025-01-01T01:09:29.638554,-7.817007,-1.672095,1747.917725,0.065557,0.456187,0.133814,0.877320,50.00,PERSP,36.00,24.00
208,2025-01-01T01:09:49.879518,-7.842451,-1.551433,1747.921143,0.072287,0.457267,0.130268,0.876762,50.00,PERSP,36.00,24.00
209,2025-01-01T01:10:10.120482,-7.865010,-1.433333,1747.925903,0.078823,0.458259,0.126833,0.876184,50.00,PERSP,36.00,24.00
210,2025-01-01T01:10:30.361446,-7.885136,-1.319696,1747.930908,0.085153,0.459188,0.123502,0.875581,50.00,PERSP,36.00,24.00
