帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
179,2025-01-01T01:00:02.891566,-5.605965,-5.700485,1747.779541,0.189437,-0.398603,-0.259281,-0.859071,50.00,PERSP,36.00,24.00
180,2025-01-01T01:00:23.132530,-5.734780,-5.569617,1747.780273,0.179490,-0.401445,-0.254684,-0.861256,50.00,PERSP,36.00,24.00
181,2025-01-01T01:00:43.373494,-5.862605,-5.435521,1747.784668,0.169544,-0.404467,-0.250010,-0.863225,50.00,PERSP,36.00,24.00
182,2025-01-01T01:01:03.614458,-5.987464,-5.297793,1747.782715,0.159491,-0.407299,-0.245301,-0.865158,50.00,PERSP,36.00,24.00
183,2025-01-01T01:01:23.855422,-6.109818,-5.157175,1747.786011,0.149451,-0.410226,-0.240532,-0.866905,50.00,PERSP,36.00,24.00
184,2025-01-01T01:01:44.096386,-6.228153,-5.013474,1747.784302,0.139318,-0.412909,-0.235754,-0.868629,50.00,PERSP,36.00,24.00
185,2025-01-01T01:02:04.337349,-6.343148,-4.867570,1747.785400,0.129251,-0.415720,-0.230924,-0.870141,50.00,PERSP,36.00,24.00
186,2025-01-01T01:02:24.578313,-6.453948,-4.718961,1747.786133,0.119117,-0.418261,-0.226108,-0.871633,50.00,PERSP,36.00,24.00
187,2025-01-01T01:02:44.819277,-6.560575,-4.568903,1747.787109,0.109077,-0.420904,-0.221257,-0.872919,50.00,PERSP,36.00,24.00
188,2025-01-01T01:03:05.060241,-6.661901,-4.417296,1747.791260,0.098987,-0.423231,-0.216450,-0.874200,50.00,PERSP,36.00,24.00
189,2025-01-01T01:03:25.301205,-6.762681,-4.264523,1747.789551,0.089104,-0.425852,-0.211581,-0.875182,50.00,PERSP,36.00,24.00
190,2025-01-01T01:03:45.542169,-6.856399,-4.110722,1747.792847,0.079179,-0.428094,-0.206790,-0.876187,50.00,PERSP,36.00,24.00
191,2025-01-01T01:04:05.783133,-6.947128,-3.956808,1747.790894,0.069409,-0.430409,-0.201991,-0.877000,50.00,PERSP,36.00,24.00
192,2025-01-01T01:04:26.024096,-7.032593,-3.802633,1747.801025,0.059739,-0.432627,-0.197228,-0.877705,50.00,PERSP,36.00,24.00
193,2025-01-01T01:04:46.265060,-7.113939,-3.648530,1747.799072,0.050205,-0.434795,-0.192497,-0.878281,50.00,PERSP,36.00,24.00
194,2025-01-01T01:05:06.506024,-7.190566,-3.495328,1747.806152,0.040766,-0.436788,-0.187836,-0.878790,50.00,PERSP,36.00,24.00
195,2025-01-01T01:05:26.746988,-7.261103,-3.343004,1747.812622,0.031471,-0.438700,-0.183230,-0.879192,50.00,PERSP,36.00,24.00
196,2025-01-01T01:05:46.987952,-7.330305,-3.191298,1747.814087,0.022379,-0.440634,-0.178655,-0.879445,50.00,PERSP,36.00,24.00
197,2025-01-01T01:06:07.228916,-7.393419,-3.041917,1747.818237,0.013416,-0.442402,-0.174170,-0.879639,50.00,PERSP,36.00,24.00
198,2025-01-01T01:06:27.469880,-7.452961,-2.893486,1747.830444,0.004667,-0.444179,-0.169729,-0.879702,50.00,PERSP,36.00,24.00
