帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
16,2025-01-01T00:05:03.614458,-7.990771,0.271135,1748.576782,0.172008,0.469234,0.077114,0.862720,50.00,PERSP,36.00,24.00
17,2025-01-01T00:05:23.855422,-7.991938,0.217212,1748.579224,0.169113,0.468954,0.078703,0.863301,50.00,PERSP,36.00,24.00
18,2025-01-01T00:05:44.096386,-7.993144,0.159824,1748.579102,0.166020,0.468669,0.080382,0.863901,50.00,PERSP,36.00,24.00
19,2025-01-01T00:06:04.337349,-7.993997,0.099255,1748.575684,0.162751,0.468328,0.082181,0.864539,50.00,PERSP,36.00,24.00
20,2025-01-01T00:06:24.578313,-7.995800,0.034651,1748.576416,0.159215,0.468082,0.084021,0.865154,50.00,PERSP,36.00,24.00
21,2025-01-01T00:06:44.819277,-7.994534,-0.033702,1748.572998,0.155574,0.467632,0.086062,0.865858,50.00,PERSP,36.00,24.00
22,2025-01-01T00:07:05.060241,-7.994374,-0.105663,1748.576416,0.151668,0.467252,0.088160,0.866545,50.00,PERSP,36.00,24.00
23,2025-01-01T00:07:25.301205,-7.992664,-0.181706,1748.577759,0.147555,0.466825,0.090378,0.867257,50.00,PERSP,36.00,24.00
24,2025-01-01T00:07:45.542169,-7.990264,-0.260977,1748.577393,0.143206,0.466390,0.092699,0.867974,50.00,PERSP,36.00,24.00
25,2025-01-01T00:08:05.783133,-7.987797,-0.345090,1748.576050,0.138648,0.465887,0.095153,0.868718,50.00,PERSP,36.00,24.00
26,2025-01-01T00:08:26.024096,-7.983679,-0.433285,1748.577515,0.133816,0.465420,0.097691,0.869445,50.00,PERSP,36.00,24.00
27,2025-01-01T00:08:46.265060,-7.978552,-0.525847,1748.578125,0.128797,0.464817,0.100398,0.870216,50.00,PERSP,36.00,24.00
28,2025-01-01T00:09:06.506024,-7.970578,-0.623250,1748.579590,0.123547,0.464143,0.103243,0.871004,50.00,PERSP,36.00,24.00
