帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
114,2025-01-01T00:38:07.228916,-0.692406,-7.965677,1749.086792,0.468931,-0.287358,-0.378886,-0.744294,50.00,PERSP,36.00,24.00
115,2025-01-01T00:38:27.469880,-0.685000,-7.965380,1749.096680,0.469248,-0.287150,-0.379000,-0.744117,50.00,PERSP,36.00,24.00
116,2025-01-01T00:38:47.710843,-0.680636,-7.966460,1749.101929,0.469460,-0.287094,-0.379092,-0.743958,50.00,PERSP,36.00,24.00
117,2025-01-01T00:39:07.951807,-0.678374,-7.966736,1749.107544,0.469543,-0.287027,-0.379119,-0.743917,50.00,PERSP,36.00,24.00
118,2025-01-01T00:39:28.192771,-0.679803,-7.966403,1749.108643,0.469515,-0.287053,-0.379111,-0.743930,50.00,PERSP,36.00,24.00
119,2025-01-01T00:39:48.433735,-0.683042,-7.966768,1749.109009,0.469381,-0.287214,-0.379077,-0.743969,50.00,PERSP,36.00,24.00
120,2025-01-01T00:40:08.674699,-0.688506,-7.966346,1749.111328,0.469110,-0.287293,-0.378961,-0.744169,50.00,PERSP,36.00,24.00
121,2025-01-01T00:40:28.915663,-0.696578,-7.964465,1749.110962,0.468723,-0.287424,-0.378799,-0.744445,50.00,PERSP,36.00,24.00
122,2025-01-01T00:40:49.156627,-0.706733,-7.963317,1749.111816,0.468225,-0.287653,-0.378602,-0.744769,50.00,PERSP,36.00,24.00
123,2025-01-01T00:41:09.397590,-0.719888,-7.963264,1749.111328,0.467627,-0.288040,-0.378387,-0.745105,50.00,PERSP,36.00,24.00
124,2025-01-01T00:41:29.638554,-0.735793,-7.962343,1749.110474,0.466905,-0.288435,-0.378113,-0.745544,50.00,PERSP,36.00,24.00
125,2025-01-01T00:41:49.879518,-0.753459,-7.959895,1749.105347,0.466056,-0.288814,-0.377774,-0.746100,50.00,PERSP,36.00,24.00
126,2025-01-01T00:42:10.120482,-0.774434,-7.957907,1749.093994,0.465100,-0.289326,-0.377409,-0.746683,50.00,PERSP,36.00,24.00
127,2025-01-01T00:42:30.361446,-0.796448,-7.955197,1749.090210,0.464008,-0.289773,-0.376967,-0.747412,50.00,PERSP,36.00,24.00
128,2025-01-01T00:42:50.602410,-0.821684,-7.952341,1749.083740,0.462815,-0.290397,-0.376508,-0.748140,50.00,PERSP,36.00,24.00
129,2025-01-01T00:43:10.843373,-0.850202,-7.949437,1749.074585,0.461499,-0.291060,-0.375997,-0.748952,50.00,PERSP,36.00,24.00
130,2025-01-01T00:43:31.084337,-0.880774,-7.946387,1749.059082,0.460063,-0.291792,-0.375440,-0.749829,50.00,PERSP,36.00,24.00
131,2025-01-01T00:43:51.325301,-0.914755,-7.943082,1749.047241,0.458509,-0.292614,-0.374843,-0.750759,50.00,PERSP,36.00,24.00
132,2025-01-01T00:44:11.566265,-0.948813,-7.938264,1749.031372,0.456814,-0.293392,-0.374170,-0.751824,50.00,PERSP,36.00,24.00
133,2025-01-01T00:44:31.807229,-0.987511,-7.933458,1749.019043,0.455008,-0.294321,-0.373469,-0.752904,50.00,PERSP,36.00,24.00
134,2025-01-01T00:44:52.048193,-1.028244,-7.929376,1749.005005,0.453076,-0.295332,-0.372722,-0.754042,50.00,PERSP,36.00,24.00
135,2025-01-01T00:45:12.289157,-1.071867,-7.922636,1748.990356,0.450995,-0.296277,-0.371893,-0.755327,50.00,PERSP,36.00,24.00
136,2025-01-01T00:45:32.530120,-1.117721,-7.917129,1748.949707,0.448799,-0.297394,-0.371035,-0.756617,50.00,PERSP,36.00,24.00
137,2025-01-01T00:45:52.771084,-1.167170,-7.909440,1748.836182,0.446463,-0.298538,-0.370114,-0.757999,50.00,PERSP,36.00,24.00
138,2025-01-01T00:46:13.012048,-1.218874,-7.902034,1748.713867,0.443996,-0.299783,-0.369145,-0.759427,50.00,PERSP,36.00,24.00
139,2025-01-01T00:46:33.253012,-1.272513,-7.892351,1748.594971,0.441373,-0.300996,-0.368097,-0.760983,50.00,PERSP,36.00,24.00
140,2025-01-01T00:46:53.493976,-1.329413,-7.882905,1748.493408,0.438609,-0.302285,-0.366994,-0.762602,50.00,PERSP,36.00,24.00
141,2025-01-01T00:47:13.734940,-1.389758,-7.873744,1748.372925,0.435715,-0.303731,-0.365850,-0.764234,50.00,PERSP,36.00,24.00
142,2025-01-01T00:47:33.975904,-1.453493,-7.862446,1748.256714,0.432670,-0.305227,-0.364641,-0.765944,50.00,PERSP,36.00,24.00
143,2025-01-01T00:47:54.216867,-1.518490,-7.849725,1748.141602,0.429453,-0.306684,-0.363346,-0.767786,50.00,PERSP,36.00,24.00
144,2025-01-01T00:48:14.457831,-1.587033,-7.835865,1748.040771,0.426097,-0.308298,-0.362004,-0.769641,50.00,PERSP,36.00,24.00
145,2025-01-01T00:48:34.698795,-1.657885,-7.821007,1747.931396,0.422574,-0.309942,-0.360588,-0.771585,50.00,PERSP,36.00,24.00
146,2025-01-01T00:48:54.939759,-1.732885,-7.804631,1747.855347,0.418885,-0.311627,-0.359098,-0.773610,50.00,PERSP,36.00,24.00
147,2025-01-01T00:49:15.180723,-1.810606,-7.787447,1747.853638,0.415040,-0.313440,-0.357551,-0.775664,50.00,PERSP,36.00,24.00
148,2025-01-01T00:49:35.421687,-1.890921,-7.768270,1747.854492,0.411013,-0.315254,-0.355917,-0.777821,50.00,PERSP,36.00,24.00
149,2025-01-01T00:49:55.662651,-1.974274,-7.747290,1747.862183,0.406818,-0.317173,-0.354215,-0.780020,50.00,PERSP,36.00,24.00
150,2025-01-01T00:50:15.903614,-2.061685,-7.725075,1747.841187,0.402458,-0.319217,-0.352445,-0.782247,50.00,PERSP,36.00,24.00
151,2025-01-01T00:50:36.144578,-2.150285,-7.700297,1747.844604,0.397889,-0.321195,-0.350572,-0.784613,50.00,PERSP,36.00,24.00
152,2025-01-01T00:50:56.385542,-2.243379,-7.673620,1747.846558,0.393147,-0.323301,-0.348627,-0.787001,50.00,PERSP,36.00,24.00
153,2025-01-01T00:51:16.626506,-2.338959,-7.644475,1747.847656,0.388213,-0.325461,-0.346596,-0.789454,50.00,PERSP,36.00,24.00
154,2025-01-01T00:51:36.867470,-2.437994,-7.613716,1747.835938,0.383091,-0.327712,-0.344481,-0.791946,50.00,PERSP,36.00,24.00
155,2025-01-01T00:51:57.108434,-2.539275,-7.580204,1747.840088,0.377768,-0.330006,-0.342273,-0.794504,50.00,PERSP,36.00,24.00
156,2025-01-01T00:52:17.349398,-2.645710,-7.545078,1747.844116,0.372262,-0.332440,-0.339985,-0.797067,50.00,PERSP,36.00,24.00
157,2025-01-01T00:52:37.590361,-2.753555,-7.505680,1747.842407,0.366528,-0.334826,-0.337587,-0.799739,50.00,PERSP,36.00,24.00
158,2025-01-01T00:52:57.831325,-2.864198,-7.464478,1747.843384,0.360605,-0.337348,-0.335103,-0.802413,50.00,PERSP,36.00,24.00
159,2025-01-01T00:53:18.072289,-2.977312,-7.419289,1747.838257,0.354452,-0.339833,-0.332510,-0.805180,50.00,PERSP,36.00,24.00
