帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
50,2025-01-01T00:16:31.807229,14.244970,-11.929790,-5.445923,0.211796,-0.109634,-0.446436,0.862449,50.00,PERSP,36.00,24.00
51,2025-01-01T00:16:52.048193,14.245943,-11.929841,-5.442993,0.222543,-0.115196,-0.445033,0.859738,50.00,PERSP,36.00,24.00
52,2025-01-01T00:17:12.289157,14.245302,-11.929731,-5.439941,0.233315,-0.120773,-0.443552,0.856878,50.00,PERSP,36.00,24.00
53,2025-01-01T00:17:32.530120,14.242976,-11.929514,-5.438965,0.244070,-0.126340,-0.441999,0.853876,50.00,PERSP,36.00,24.00
54,2025-01-01T00:17:52.771084,14.245979,-11.929660,-5.438721,0.254670,-0.131827,-0.440394,0.850775,50.00,PERSP,36.00,24.00
55,2025-01-01T00:18:13.012048,14.245753,-11.929696,-5.437988,0.265263,-0.137310,-0.438715,0.847532,50.00,PERSP,36.00,24.00
56,2025-01-01T00:18:33.253012,14.246228,-11.929742,-5.439331,0.275818,-0.142774,-0.436967,0.844156,50.00,PERSP,36.00,24.00
57,2025-01-01T00:18:53.493976,14.241962,-11.929384,-5.440063,0.286479,-0.148292,-0.435126,0.840598,50.00,PERSP,36.00,24.00
58,2025-01-01T00:19:13.734940,14.248931,-11.929969,-5.442139,0.296738,-0.153603,-0.433279,0.837031,50.00,PERSP,36.00,24.00
59,2025-01-01T00:19:33.975904,14.245833,-11.929802,-5.442383,0.307238,-0.159038,-0.431314,0.833235,50.00,PERSP,36.00,24.00
60,2025-01-01T00:19:54.216867,14.247144,-11.929905,-5.445068,0.317591,-0.164397,-0.429300,0.829344,50.00,PERSP,36.00,24.00
61,2025-01-01T00:20:14.457831,14.247391,-11.929876,-5.445068,0.327940,-0.169754,-0.427210,0.825306,50.00,PERSP,36.00,24.00
