frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowcontrast,0001.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0001.png,2025-01-01T00:00:00,-45.832031,-28.630333,1743.095825,0.058615,-0.427578,-0.228782,-0.872583,50.00,PERSP,36.00,24.00
2,lowcontrast,0002.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0002.png,2025-01-01T00:00:20.240964,-45.805885,-28.660509,1743.096924,0.058863,-0.427426,-0.228936,-0.872600,50.00,PERSP,36.00,24.00
3,lowcontrast,0003.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0003.png,2025-01-01T00:00:40.481928,-45.783165,-28.694962,1743.097290,0.059176,-0.427309,-0.229103,-0.872592,50.00,PERSP,36.00,24.00
4,lowcontrast,0004.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0004.png,2025-01-01T00:01:00.722892,-45.766113,-28.732725,1743.096924,0.059583,-0.427309,-0.229261,-0.872523,50.00,PERSP,36.00,24.00
5,lowcontrast,0005.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0005.png,2025-01-01T00:01:20.963855,-45.728481,-28.777998,1743.097168,0.059948,-0.427062,-0.229498,-0.872557,50.00,PERSP,36.00,24.00
6,lowcontrast,0006.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0006.png,2025-01-01T00:01:41.204819,-45.698246,-28.826315,1743.099243,0.060415,-0.426954,-0.229721,-0.872519,50.00,PERSP,36.00,24.00
7,lowcontrast,0007.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0007.png,2025-01-01T00:02:01.445783,-45.670574,-28.878624,1743.100342,0.060946,-0.426884,-0.229954,-0.872454,50.00,PERSP,36.00,24.00
8,lowcontrast,0008.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0008.png,2025-01-01T00:02:21.686747,-45.637917,-28.935734,1743.099976,0.061524,-0.426807,-0.230208,-0.872385,50.00,PERSP,36.00,24.00
9,lowcontrast,0009.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0009.png,2025-01-01T00:02:41.927711,-45.593483,-28.998995,1743.101318,0.062094,-0.426575,-0.230518,-0.872376,50.00,PERSP,36.00,24.00
10,lowcontrast,0010.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0010.png,2025-01-01T00:03:02.168675,-45.549625,-29.066103,1743.101318,0.062732,-0.426396,-0.230834,-0.872334,50.00,PERSP,36.00,24.00
11,lowcontrast,0011.png,D:\BaiduNetdiskDownload\fire\Clementine_IRBatch250\images\0011.png,2025-01-01T00:03:22.409639,-45.507278,-29.137470,1743.105103,0.063431,-0.426248,-0.231161,-0.872269,50.00,PERSP,36.00,24.00
