帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
101,2025-01-01T00:33:44.096386,-34.213921,-41.821278,1743.445190,0.199687,-0.384584,-0.295271,-0.851490,50.00,PERSP,36.00,24.00
102,2025-01-01T00:34:04.337349,-34.131710,-41.890461,1743.456543,0.200552,-0.384315,-0.295656,-0.851275,50.00,PERSP,36.00,24.00
103,2025-01-01T00:34:24.578313,-34.046078,-41.955040,1743.480347,0.201350,-0.383969,-0.296028,-0.851113,50.00,PERSP,36.00,24.00
104,2025-01-01T00:34:44.819277,-33.970695,-42.017082,1743.490112,0.202128,-0.383718,-0.296376,-0.850921,50.00,PERSP,36.00,24.00
105,2025-01-01T00:35:05.060241,-33.901112,-42.075848,1743.504272,0.202868,-0.383494,-0.296703,-0.850731,50.00,PERSP,36.00,24.00
106,2025-01-01T00:35:25.301205,-33.838070,-42.131527,1743.517456,0.203576,-0.383324,-0.297009,-0.850532,50.00,PERSP,36.00,24.00
107,2025-01-01T00:35:45.542169,-33.768959,-42.182045,1743.530396,0.204202,-0.383034,-0.297304,-0.850410,50.00,PERSP,36.00,24.00
108,2025-01-01T00:36:05.783133,-33.711716,-42.229996,1743.535156,0.204809,-0.382842,-0.297574,-0.850256,50.00,PERSP,36.00,24.00
109,2025-01-01T00:36:26.024096,-33.657219,-42.274307,1743.549194,0.205370,-0.382656,-0.297824,-0.850117,50.00,PERSP,36.00,24.00
110,2025-01-01T00:36:46.265060,-33.603394,-42.314560,1743.570312,0.205874,-0.382442,-0.298058,-0.850009,50.00,PERSP,36.00,24.00
111,2025-01-01T00:37:06.506024,-33.559437,-42.352383,1743.587769,0.206358,-0.382328,-0.298266,-0.849870,50.00,PERSP,36.00,24.00
112,2025-01-01T00:37:26.746988,-33.512161,-42.384827,1743.605591,0.206765,-0.382115,-0.298461,-0.849798,50.00,PERSP,36.00,24.00
113,2025-01-01T00:37:46.987952,-33.479313,-42.415981,1743.610962,0.207166,-0.382055,-0.298628,-0.849669,50.00,PERSP,36.00,24.00
114,2025-01-01T00:38:07.228916,-33.445137,-42.442242,1743.620850,0.207497,-0.381920,-0.298780,-0.849596,50.00,PERSP,36.00,24.00
115,2025-01-01T00:38:27.469880,-33.412502,-42.464401,1743.630249,0.207775,-0.381772,-0.298913,-0.849547,50.00,PERSP,36.00,24.00
116,2025-01-01T00:38:47.710843,-33.391247,-42.484482,1743.635620,0.208035,-0.381736,-0.299021,-0.849462,50.00,PERSP,36.00,24.00
117,2025-01-01T00:39:07.951807,-33.370754,-42.499786,1743.641113,0.208228,-0.381642,-0.299112,-0.849425,50.00,PERSP,36.00,24.00
118,2025-01-01T00:39:28.192771,-33.356426,-42.512402,1743.642456,0.208387,-0.381598,-0.299181,-0.849381,50.00,PERSP,36.00,24.00
119,2025-01-01T00:39:48.433735,-33.350830,-42.522186,1743.642822,0.208522,-0.381649,-0.299225,-0.849310,50.00,PERSP,36.00,24.00
120,2025-01-01T00:40:08.674699,-33.339378,-42.526371,1743.645264,0.208570,-0.381569,-0.299258,-0.849322,50.00,PERSP,36.00,24.00
121,2025-01-01T00:40:28.915663,-33.334526,-42.526947,1743.644531,0.208571,-0.381499,-0.299270,-0.849349,50.00,PERSP,36.00,24.00
122,2025-01-01T00:40:49.156627,-33.334442,-42.524380,1743.645874,0.208538,-0.381485,-0.299259,-0.849367,50.00,PERSP,36.00,24.00
123,2025-01-01T00:41:09.397590,-33.349152,-42.520035,1743.644897,0.208489,-0.381590,-0.299223,-0.849345,50.00,PERSP,36.00,24.00
124,2025-01-01T00:41:29.638554,-33.362621,-42.511398,1743.644531,0.208380,-0.381659,-0.299168,-0.849360,50.00,PERSP,36.00,24.00
125,2025-01-01T00:41:49.879518,-33.375126,-42.497856,1743.639160,0.208204,-0.381666,-0.299098,-0.849425,50.00,PERSP,36.00,24.00
126,2025-01-01T00:42:10.120482,-33.396702,-42.482002,1743.628052,0.208004,-0.381767,-0.299003,-0.849462,50.00,PERSP,36.00,24.00
