帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
136,2025-01-01T00:45:32.530120,-33.844055,-42.123550,1743.482910,0.203469,-0.383305,-0.296970,-0.850580,50.00,PERSP,36.00,24.00
137,2025-01-01T00:45:52.771084,-33.912498,-42.068363,1743.369019,0.202777,-0.383545,-0.296658,-0.850746,50.00,PERSP,36.00,24.00
138,2025-01-01T00:46:13.012048,-33.987877,-42.010174,1743.246338,0.202054,-0.383840,-0.296324,-0.850901,50.00,PERSP,36.00,24.00
139,2025-01-01T00:46:33.253012,-34.059837,-41.947220,1743.126953,0.201262,-0.384053,-0.295977,-0.851114,50.00,PERSP,36.00,24.00
140,2025-01-01T00:46:53.493976,-34.136456,-41.881088,1743.025391,0.200432,-0.384294,-0.295610,-0.851328,50.00,PERSP,36.00,24.00
141,2025-01-01T00:47:13.734940,-34.224937,-41.812721,1742.904175,0.199589,-0.384644,-0.295218,-0.851504,50.00,PERSP,36.00,24.00
142,2025-01-01T00:47:33.975904,-34.316833,-41.740997,1742.787231,0.198700,-0.384994,-0.294808,-0.851696,50.00,PERSP,36.00,24.00
143,2025-01-01T00:47:54.216867,-34.403980,-41.664146,1742.672241,0.197741,-0.385252,-0.294388,-0.851948,50.00,PERSP,36.00,24.00
144,2025-01-01T00:48:14.457831,-34.501385,-41.585400,1742.571533,0.196770,-0.385618,-0.293942,-0.852161,50.00,PERSP,36.00,24.00
145,2025-01-01T00:48:34.698795,-34.601067,-41.502510,1742.462036,0.195749,-0.385961,-0.293481,-0.852400,50.00,PERSP,36.00,24.00
146,2025-01-01T00:48:54.939759,-34.700180,-41.416210,1742.385498,0.194682,-0.386291,-0.293004,-0.852658,50.00,PERSP,36.00,24.00
147,2025-01-01T00:49:15.180723,-34.809734,-41.327354,1742.383423,0.193597,-0.386700,-0.292505,-0.852892,50.00,PERSP,36.00,24.00
148,2025-01-01T00:49:35.421687,-34.916256,-41.234077,1742.383789,0.192454,-0.387055,-0.291994,-0.853164,50.00,PERSP,36.00,24.00
149,2025-01-01T00:49:55.662651,-35.029236,-41.138336,1742.392578,0.191286,-0.387461,-0.291463,-0.853424,50.00,PERSP,36.00,24.00
149,2025-01-01T00:49:55.662651,-35.029236,-41.138336,1742.392578,0.191286,-0.387461,-0.291463,-0.853424,50.00,PERSP,36.00,24.00
