帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
150,2025-01-01T00:50:15.903614,-35.045174,-41.036709,1741.781372,0.189876,-0.386655,-0.291068,-0.854239,50.00,PERSP,36.00,24.00
151,2025-01-01T00:50:36.144578,-35.157200,-40.934059,1741.786133,0.188618,-0.387010,-0.290513,-0.854546,50.00,PERSP,36.00,24.00
152,2025-01-01T00:50:56.385542,-35.279282,-40.829178,1741.788208,0.187343,-0.387439,-0.289936,-0.854828,50.00,PERSP,36.00,24.00
153,2025-01-01T00:51:16.626506,-35.402893,-40.720741,1741.790405,0.186031,-0.387867,-0.289345,-0.855121,50.00,PERSP,36.00,24.00
154,2025-01-01T00:51:36.867470,-35.530865,-40.609783,1741.780029,0.184693,-0.388332,-0.288735,-0.855406,50.00,PERSP,36.00,24.00
155,2025-01-01T00:51:57.108434,-35.660736,-40.495434,1741.783813,0.183316,-0.388786,-0.288112,-0.855706,50.00,PERSP,36.00,24.00
156,2025-01-01T00:52:17.349398,-35.799725,-40.378571,1741.788208,0.181931,-0.389326,-0.287467,-0.855973,50.00,PERSP,36.00,24.00
157,2025-01-01T00:52:37.590361,-35.930542,-40.257740,1741.787598,0.180480,-0.389766,-0.286816,-0.856298,50.00,PERSP,36.00,24.00
158,2025-01-01T00:52:57.831325,-36.072376,-40.134632,1741.789917,0.179022,-0.390288,-0.286145,-0.856590,50.00,PERSP,36.00,24.00
159,2025-01-01T00:53:18.072289,-36.205662,-40.007751,1741.785278,0.177505,-0.390723,-0.285469,-0.856934,50.00,PERSP,36.00,24.00
160,2025-01-01T00:53:38.313253,-36.352436,-39.878948,1741.793457,0.175993,-0.391275,-0.284768,-0.857226,50.00,PERSP,36.00,24.00
161,2025-01-01T00:53:58.554217,-36.498260,-39.747250,1741.785889,0.174447,-0.391816,-0.284056,-0.857532,50.00,PERSP,36.00,24.00
162,2025-01-01T00:54:18.795181,-36.639709,-39.611801,1741.784180,0.172848,-0.392277,-0.283340,-0.857881,50.00,PERSP,36.00,24.00
163,2025-01-01T00:54:39.036145,-36.791794,-39.474926,1741.780396,0.171258,-0.392859,-0.282600,-0.858178,50.00,PERSP,36.00,24.00
164,2025-01-01T00:54:59.277108,-36.938000,-39.334259,1741.779297,0.169610,-0.393344,-0.281858,-0.858527,50.00,PERSP,36.00,24.00
165,2025-01-01T00:55:19.518072,-37.093124,-39.192116,1741.771484,0.167973,-0.393944,-0.281093,-0.858825,50.00,PERSP,36.00,24.00
