帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
232,2025-01-01T01:17:55.662651,-45.527550,-29.098055,1742.375610,0.063030,-0.426286,-0.230986,-0.872326,50.00,PERSP,36.00,24.00
233,2025-01-01T01:18:15.903614,-45.575302,-29.028656,1742.373779,0.062389,-0.426513,-0.230652,-0.872350,50.00,PERSP,36.00,24.00
234,2025-01-01T01:18:36.144578,-45.610809,-28.964848,1742.371826,0.061747,-0.426605,-0.230367,-0.872426,50.00,PERSP,36.00,24.00
235,2025-01-01T01:18:56.385542,-45.651062,-28.904743,1742.369385,0.061190,-0.426797,-0.230078,-0.872448,50.00,PERSP,36.00,24.00
236,2025-01-01T01:19:16.626506,-45.680206,-28.850632,1742.370850,0.060628,-0.426842,-0.229841,-0.872527,50.00,PERSP,36.00,24.00
237,2025-01-01T01:19:36.867470,-45.723686,-28.798254,1742.362671,0.060207,-0.427133,-0.229567,-0.872486,50.00,PERSP,36.00,24.00
238,2025-01-01T01:19:57.108434,-45.752216,-28.752771,1742.366699,0.059764,-0.427230,-0.229357,-0.872524,50.00,PERSP,36.00,24.00
239,2025-01-01T01:20:17.349398,-45.778347,-28.711439,1742.367065,0.059381,-0.427355,-0.229161,-0.872540,50.00,PERSP,36.00,24.00
240,2025-01-01T01:20:37.590361,-45.790878,-28.676638,1742.371826,0.058985,-0.427313,-0.229023,-0.872624,50.00,PERSP,36.00,24.00
241,2025-01-01T01:20:57.831325,-45.767689,-28.653255,1742.624756,0.058490,-0.426830,-0.229016,-0.872896,50.00,PERSP,36.00,24.00
242,2025-01-01T01:21:18.072289,-45.673847,-28.646391,1743.241577,0.057744,-0.425495,-0.229239,-0.873538,50.00,PERSP,36.00,24.00
243,2025-01-01T01:21:38.313253,-45.467918,-28.661512,1744.055420,0.056537,-0.422775,-0.229811,-0.874787,50.00,PERSP,36.00,24.00
244,2025-01-01T01:21:58.554217,-45.186047,-28.692844,1744.929565,0.055024,-0.419109,-0.230619,-0.876433,50.00,PERSP,36.00,24.00
245,2025-01-01T01:22:18.795181,-44.831638,-28.738558,1745.729248,0.053225,-0.414575,-0.231635,-0.878430,50.00,PERSP,36.00,24.00
246,2025-01-01T01:22:39.036145,-44.377731,-28.802114,1746.432983,0.051018,-0.408861,-0.232924,-0.880895,50.00,PERSP,36.00,24.00
247,2025-01-01T01:22:59.277108,-43.819077,-28.884031,1746.990234,0.048394,-0.401951,-0.234476,-0.883807,50.00,PERSP,36.00,24.00
248,2025-01-01T01:23:19.518072,-43.175446,-28.980936,1747.369019,0.045441,-0.394094,-0.236222,-0.887031,50.00,PERSP,36.00,24.00
249,2025-01-01T01:23:39.759036,-42.419155,-29.096907,1747.631104,0.042066,-0.385033,-0.238209,-0.890638,50.00,PERSP,36.00,24.00
250,2025-01-01T01:24:00,-41.199791,-29.286911,1747.831787,0.036782,-0.370735,-0.241278,-0.896096,50.00,PERSP,36.00,24.00
1,2025-01-01T00:00:00,-45.832031,-28.630333,1743.095581,0.058615,-0.427578,-0.228782,-0.872583,50.00,PERSP,36.00,24.00
2,2025-01-01T00:00:20.240964,-45.805901,-28.660509,1743.096802,0.058863,-0.427426,-0.228936,-0.872600,50.00,PERSP,36.00,24.00
3,2025-01-01T00:00:40.481928,-45.783947,-28.694965,1743.097656,0.059176,-0.427309,-0.229103,-0.872592,50.00,PERSP,36.00,24.00
4,2025-01-01T00:01:00.722892,-45.765388,-28.732632,1743.096924,0.059583,-0.427309,-0.229261,-0.872523,50.00,PERSP,36.00,24.00
5,2025-01-01T00:01:20.963855,-45.727745,-28.777908,1743.097534,0.059948,-0.427062,-0.229498,-0.872557,50.00,PERSP,36.00,24.00
6,2025-01-01T00:01:41.204819,-45.698269,-28.826214,1743.099243,0.060415,-0.426954,-0.229721,-0.872519,50.00,PERSP,36.00,24.00
7,2025-01-01T00:02:01.445783,-45.670574,-28.878725,1743.099976,0.060946,-0.426884,-0.229954,-0.872454,50.00,PERSP,36.00,24.00
8,2025-01-01T00:02:21.686747,-45.638058,-28.935638,1743.100220,0.061524,-0.426807,-0.230208,-0.872385,50.00,PERSP,36.00,24.00
9,2025-01-01T00:02:41.927711,-45.592960,-28.998995,1743.101929,0.062094,-0.426575,-0.230518,-0.872376,50.00,PERSP,36.00,24.00
10,2025-01-01T00:03:02.168675,-45.550575,-29.066210,1743.101440,0.062732,-0.426396,-0.230834,-0.872334,50.00,PERSP,36.00,24.00
11,2025-01-01T00:03:22.409639,-45.506947,-29.137304,1743.104858,0.063431,-0.426248,-0.231161,-0.872269,50.00,PERSP,36.00,24.00
12,2025-01-01T00:03:42.650602,-45.457394,-29.213573,1743.105347,0.064161,-0.426054,-0.231518,-0.872216,50.00,PERSP,36.00,24.00
13,2025-01-01T00:04:02.891566,-45.406605,-29.294043,1743.107422,0.064940,-0.425863,-0.231893,-0.872152,50.00,PERSP,36.00,24.00
14,2025-01-01T00:04:23.132530,-45.352398,-29.378986,1743.109131,0.065755,-0.425641,-0.232292,-0.872093,50.00,PERSP,36.00,24.00
15,2025-01-01T00:04:43.373494,-45.288979,-29.468937,1743.110474,0.066590,-0.425348,-0.232726,-0.872057,50.00,PERSP,36.00,24.00
16,2025-01-01T00:05:03.614458,-45.232586,-29.561760,1743.109253,0.067516,-0.425174,-0.233150,-0.871957,50.00,PERSP,36.00,24.00
17,2025-01-01T00:05:23.855422,-45.167274,-29.659710,1743.111694,0.068451,-0.424902,-0.233614,-0.871893,50.00,PERSP,36.00,24.00
18,2025-01-01T00:05:44.096386,-45.100151,-29.761669,1743.112183,0.069435,-0.424637,-0.234094,-0.871815,50.00,PERSP,36.00,24.00
19,2025-01-01T00:06:04.337349,-45.028004,-29.867785,1743.108765,0.070447,-0.424327,-0.234601,-0.871749,50.00,PERSP,36.00,24.00
20,2025-01-01T00:06:24.578313,-44.962303,-29.977007,1743.109619,0.071547,-0.424138,-0.235097,-0.871618,50.00,PERSP,36.00,24.00
21,2025-01-01T00:06:44.819277,-44.878765,-30.091499,1743.105103,0.072616,-0.423744,-0.235655,-0.871570,50.00,PERSP,36.00,24.00
22,2025-01-01T00:07:05.060241,-44.800728,-30.208815,1743.109131,0.073764,-0.423448,-0.236208,-0.871468,50.00,PERSP,36.00,24.00
23,2025-01-01T00:07:25.301205,-44.718513,-30.330261,1743.110596,0.074943,-0.423124,-0.236782,-0.871369,50.00,PERSP,36.00,24.00
24,2025-01-01T00:07:45.542169,-44.635349,-30.455053,1743.109253,0.076170,-0.422817,-0.237368,-0.871252,50.00,PERSP,36.00,24.00
25,2025-01-01T00:08:05.783133,-44.546497,-30.583549,1743.108521,0.077421,-0.422465,-0.237979,-0.871146,50.00,PERSP,36.00,24.00
26,2025-01-01T00:08:26.024096,-44.461422,-30.714891,1743.109985,0.078738,-0.422182,-0.238590,-0.870998,50.00,PERSP,36.00,24.00
27,2025-01-01T00:08:46.265060,-44.364975,-30.850412,1743.109863,0.080052,-0.421786,-0.239239,-0.870892,50.00,PERSP,36.00,24.00
28,2025-01-01T00:09:06.506024,-44.264156,-30.989254,1743.112671,0.081391,-0.421350,-0.239911,-0.870794,50.00,PERSP,36.00,24.00
29,2025-01-01T00:09:26.746988,-44.161995,-31.131325,1743.118408,0.082778,-0.420946,-0.240589,-0.870672,50.00,PERSP,36.00,24.00
