frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowlight,0001.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0001.png,2025-01-01T00:00:00,-45.426769,-26.122326,1747.796753,0.071775,-0.419979,-0.198095,-0.882737,50.00,PERSP,36.00,24.00
2,lowlight,0002.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0002.png,2025-01-01T00:00:20.240964,-45.404724,-26.149376,1747.798340,0.072003,-0.419843,-0.198235,-0.882751,50.00,PERSP,36.00,24.00
3,lowlight,0003.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0003.png,2025-01-01T00:00:40.481928,-45.385586,-26.181162,1747.798706,0.072296,-0.419742,-0.198388,-0.882741,50.00,PERSP,36.00,24.00
4,lowlight,0004.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0004.png,2025-01-01T00:01:00.722892,-45.371746,-26.217178,1747.797974,0.072690,-0.419759,-0.198535,-0.882667,50.00,PERSP,36.00,24.00
5,lowlight,0005.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0005.png,2025-01-01T00:01:20.963855,-45.337208,-26.258986,1747.798462,0.073035,-0.419533,-0.198756,-0.882697,50.00,PERSP,36.00,24.00
6,lowlight,0006.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0006.png,2025-01-01T00:01:41.204819,-45.309673,-26.304981,1747.800049,0.073488,-0.419445,-0.198966,-0.882654,50.00,PERSP,36.00,24.00
7,lowlight,0007.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0007.png,2025-01-01T00:02:01.445783,-45.286678,-26.355272,1747.801025,0.074009,-0.419397,-0.199187,-0.882583,50.00,PERSP,36.00,24.00
8,lowlight,0008.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0008.png,2025-01-01T00:02:21.686747,-45.259548,-26.410524,1747.801025,0.074578,-0.419342,-0.199430,-0.882507,50.00,PERSP,36.00,24.00
9,lowlight,0009.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0009.png,2025-01-01T00:02:41.927711,-45.217678,-26.470999,1747.802734,0.075135,-0.419136,-0.199724,-0.882491,50.00,PERSP,36.00,24.00
10,lowlight,0010.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0010.png,2025-01-01T00:03:02.168675,-45.179996,-26.535982,1747.802734,0.075764,-0.418983,-0.200027,-0.882441,50.00,PERSP,36.00,24.00
11,lowlight,0011.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0011.png,2025-01-01T00:03:22.409639,-45.141403,-26.605213,1747.805542,0.076457,-0.418863,-0.200342,-0.882367,50.00,PERSP,36.00,24.00
12,lowlight,0012.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0012.png,2025-01-01T00:03:42.650602,-45.098724,-26.679453,1747.806274,0.077181,-0.418698,-0.200686,-0.882304,50.00,PERSP,36.00,24.00
13,lowlight,0013.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0013.png,2025-01-01T00:04:02.891566,-45.051922,-26.757870,1747.808716,0.077956,-0.418537,-0.201048,-0.882230,50.00,PERSP,36.00,24.00
14,lowlight,0014.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0014.png,2025-01-01T00:04:23.132530,-45.003696,-26.841034,1747.809692,0.078768,-0.418347,-0.201435,-0.882160,50.00,PERSP,36.00,24.00
15,lowlight,0015.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0015.png,2025-01-01T00:04:43.373494,-44.944458,-26.928778,1747.811035,0.079599,-0.418087,-0.201855,-0.882112,50.00,PERSP,36.00,24.00
16,lowlight,0016.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0016.png,2025-01-01T00:05:03.614458,-44.895187,-27.020437,1747.809692,0.080528,-0.417947,-0.202268,-0.881999,50.00,PERSP,36.00,24.00
17,lowlight,0017.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0017.png,2025-01-01T00:05:23.855422,-44.835094,-27.116558,1747.812622,0.081465,-0.417710,-0.202720,-0.881922,50.00,PERSP,36.00,24.00
18,lowlight,0018.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0018.png,2025-01-01T00:05:44.096386,-44.774914,-27.216953,1747.812744,0.082453,-0.417482,-0.203188,-0.881830,50.00,PERSP,36.00,24.00
19,lowlight,0019.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0019.png,2025-01-01T00:06:04.337349,-44.708267,-27.321524,1747.808960,0.083469,-0.417211,-0.203683,-0.881749,50.00,PERSP,36.00,24.00
20,lowlight,0020.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0020.png,2025-01-01T00:06:24.578313,-44.649971,-27.429846,1747.810059,0.084580,-0.417059,-0.204170,-0.881602,50.00,PERSP,36.00,24.00
21,lowlight,0021.png,D:\BaiduNetdiskDownload\fire\Clementine_VisibleBatch250\images\0021.png,2025-01-01T00:06:44.819277,-44.572510,-27.542818,1747.806274,0.085654,-0.416706,-0.204716,-0.881539,50.00,PERSP,36.00,24.00
