帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
1,2025-01-01T00:00:00,-45.832039,-28.630333,1743.095825,0.058615,-0.427578,-0.228782,-0.872583,50.00,PERSP,36.00,24.00
2,2025-01-01T00:00:20.240964,-45.805901,-28.660509,1743.097168,0.058863,-0.427426,-0.228936,-0.872600,50.00,PERSP,36.00,24.00
3,2025-01-01T00:00:40.481928,-45.783199,-28.694965,1743.097534,0.059176,-0.427309,-0.229103,-0.872592,50.00,PERSP,36.00,24.00
4,2025-01-01T00:01:00.722892,-45.783199,-28.694965,1743.097534,0.059176,-0.427309,-0.229103,-0.872592,50.00,PERSP,36.00,24.00
5,2025-01-01T00:01:20.963855,-45.727768,-28.777908,1743.097290,0.059948,-0.427062,-0.229498,-0.872557,50.00,PERSP,36.00,24.00
6,2025-01-01T00:01:41.204819,-45.697556,-28.826307,1743.099365,0.060415,-0.426954,-0.229721,-0.872519,50.00,PERSP,36.00,24.00
7,2025-01-01T00:02:01.445783,-45.670620,-28.878725,1743.100220,0.060946,-0.426884,-0.229954,-0.872454,50.00,PERSP,36.00,24.00
8,2025-01-01T00:02:21.686747,-45.638012,-28.935638,1743.099976,0.061524,-0.426807,-0.230208,-0.872385,50.00,PERSP,36.00,24.00
9,2025-01-01T00:02:41.927711,-45.593674,-28.998995,1743.101440,0.062094,-0.426575,-0.230518,-0.872376,50.00,PERSP,36.00,24.00
10,2025-01-01T00:03:02.168675,-45.549767,-29.066114,1743.101685,0.062732,-0.426396,-0.230834,-0.872334,50.00,PERSP,36.00,24.00
11,2025-01-01T00:03:22.409639,-45.507042,-29.137400,1743.105347,0.063431,-0.426248,-0.231161,-0.872269,50.00,PERSP,36.00,24.00
12,2025-01-01T00:03:42.650602,-45.456635,-29.213669,1743.105469,0.064161,-0.426054,-0.231518,-0.872216,50.00,PERSP,36.00,24.00
13,2025-01-01T00:04:02.891566,-45.406700,-29.294043,1743.107910,0.064940,-0.425863,-0.231893,-0.872152,50.00,PERSP,36.00,24.00
14,2025-01-01T00:04:23.132530,-45.351639,-29.379082,1743.108765,0.065755,-0.425641,-0.232292,-0.872093,50.00,PERSP,36.00,24.00
15,2025-01-01T00:04:43.373494,-45.288692,-29.468937,1743.110596,0.066590,-0.425348,-0.232726,-0.872057,50.00,PERSP,36.00,24.00
16,2025-01-01T00:05:03.614458,-45.233440,-29.561760,1743.109131,0.067516,-0.425174,-0.233150,-0.871957,50.00,PERSP,36.00,24.00
17,2025-01-01T00:05:23.855422,-45.167656,-29.659710,1743.111572,0.068451,-0.424902,-0.233614,-0.871893,50.00,PERSP,36.00,24.00
18,2025-01-01T00:05:44.096386,-45.100151,-29.761669,1743.112183,0.069435,-0.424637,-0.234094,-0.871815,50.00,PERSP,36.00,24.00
19,2025-01-01T00:06:04.337349,-45.027626,-29.867785,1743.108887,0.070447,-0.424327,-0.234601,-0.871749,50.00,PERSP,36.00,24.00
20,2025-01-01T00:06:24.578313,-44.962498,-29.977007,1743.109253,0.071547,-0.424138,-0.235097,-0.871618,50.00,PERSP,36.00,24.00
21,2025-01-01T00:06:44.819277,-44.879143,-30.091499,1743.105347,0.072616,-0.423744,-0.235655,-0.871570,50.00,PERSP,36.00,24.00
22,2025-01-01T00:07:05.060241,-44.800156,-30.208935,1743.109253,0.073764,-0.423448,-0.236208,-0.871468,50.00,PERSP,36.00,24.00
23,2025-01-01T00:07:25.301205,-44.718132,-30.330357,1743.110474,0.074943,-0.423124,-0.236782,-0.871369,50.00,PERSP,36.00,24.00
