frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowcontrast,0001.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0001.png,2025-01-01T00:00:00,17.038931,51.282646,1743.095581,0.801055,0.360173,-0.324714,0.350923,50.00,PERSP,36.00,24.00
2,lowcontrast,0002.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0002.png,2025-01-01T00:00:20.240964,17.124298,51.248856,1743.097290,0.801412,0.359874,-0.324956,0.350192,50.00,PERSP,36.00,24.00
3,lowcontrast,0003.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0003.png,2025-01-01T00:00:40.481928,17.227921,51.212532,1743.097656,0.801789,0.359535,-0.325293,0.349360,50.00,PERSP,36.00,24.00
4,lowcontrast,0004.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0004.png,2025-01-01T00:01:00.722892,17.354071,51.175755,1743.097168,0.802141,0.359167,-0.325811,0.348446,50.00,PERSP,36.00,24.00
5,lowcontrast,0005.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0005.png,2025-01-01T00:01:20.963855,17.477636,51.124557,1743.097290,0.802670,0.358728,-0.326137,0.347375,50.00,PERSP,36.00,24.00
6,lowcontrast,0006.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0006.png,2025-01-01T00:01:41.204819,17.625219,51.075485,1743.098999,0.803161,0.358261,-0.326666,0.346224,50.00,PERSP,36.00,24.00
7,lowcontrast,0007.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0007.png,2025-01-01T00:02:01.445783,17.790268,51.021954,1743.099731,0.803669,0.357753,-0.327294,0.344973,50.00,PERSP,36.00,24.00
8,lowcontrast,0008.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0008.png,2025-01-01T00:02:21.686747,17.969543,50.963070,1743.099976,0.804220,0.357201,-0.327975,0.343613,50.00,PERSP,36.00,24.00
9,lowcontrast,0009.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0009.png,2025-01-01T00:02:41.927711,18.152782,50.893578,1743.101685,0.804894,0.356587,-0.328559,0.342113,50.00,PERSP,36.00,24.00
10,lowcontrast,0010.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_IRBatch250\images\0010.png,2025-01-01T00:03:02.168675,18.353651,50.821026,1743.102051,0.805576,0.355933,-0.329255,0.340513,50.00,PERSP,36.00,24.00
