frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowlight,0001.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0001.png,2025-01-01T00:00:00,18.315208,49.097324,1747.796387,0.806103,0.328766,-0.327928,0.366843,50.00,PERSP,36.00,24.00
2,lowlight,0002.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0002.png,2025-01-01T00:00:20.240964,18.419115,49.052990,1747.798096,0.806554,0.328392,-0.328213,0.365930,50.00,PERSP,36.00,24.00
3,lowlight,0003.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0003.png,2025-01-01T00:00:40.481928,18.538206,49.005291,1747.798462,0.807027,0.327980,-0.328589,0.364920,50.00,PERSP,36.00,24.00
4,lowlight,0004.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0004.png,2025-01-01T00:01:00.722892,18.679411,48.958714,1747.797729,0.807472,0.327540,-0.329138,0.363833,50.00,PERSP,36.00,24.00
5,lowlight,0005.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0005.png,2025-01-01T00:01:20.963855,18.818336,48.895584,1747.798340,0.808098,0.327026,-0.329493,0.362581,50.00,PERSP,36.00,24.00
6,lowlight,0006.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0006.png,2025-01-01T00:01:41.204819,18.980103,48.834190,1747.799805,0.808685,0.326487,-0.330042,0.361258,50.00,PERSP,36.00,24.00
7,lowlight,0007.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0007.png,2025-01-01T00:02:01.445783,19.157089,48.769703,1747.800415,0.809288,0.325909,-0.330685,0.359839,50.00,PERSP,36.00,24.00
8,lowlight,0008.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0008.png,2025-01-01T00:02:21.686747,19.346342,48.699421,1747.800781,0.809933,0.325286,-0.331374,0.358314,50.00,PERSP,36.00,24.00
9,lowlight,0009.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0009.png,2025-01-01T00:02:41.927711,19.540289,48.617149,1747.802368,0.810703,0.324602,-0.331962,0.356645,50.00,PERSP,36.00,24.00
10,lowlight,0010.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0010.png,2025-01-01T00:03:02.168675,19.750731,48.531113,1747.802734,0.811480,0.323880,-0.332656,0.354883,50.00,PERSP,36.00,24.00
11,lowlight,0011.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0011.png,2025-01-01T00:03:22.409639,19.976048,48.441021,1747.805786,0.812276,0.323117,-0.333434,0.353022,50.00,PERSP,36.00,24.00
12,lowlight,0012.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0012.png,2025-01-01T00:03:42.650602,20.211914,48.343285,1747.806641,0.813133,0.322305,-0.334219,0.351044,50.00,PERSP,36.00,24.00
13,lowlight,0013.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0013.png,2025-01-01T00:04:02.891566,20.459887,48.239403,1747.809326,0.814023,0.321447,-0.335060,0.348960,50.00,PERSP,36.00,24.00
14,lowlight,0014.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0014.png,2025-01-01T00:04:23.132530,20.720032,48.127899,1747.809570,0.814964,0.320542,-0.335921,0.346761,50.00,PERSP,36.00,24.00
15,lowlight,0015.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0015.png,2025-01-01T00:04:43.373494,20.987915,48.007545,1747.811279,0.815978,0.319584,-0.336762,0.344437,50.00,PERSP,36.00,24.00
16,lowlight,0016.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0016.png,2025-01-01T00:05:03.614458,21.276424,47.885410,1747.809937,0.816957,0.318591,-0.337775,0.342037,50.00,PERSP,36.00,24.00
17,lowlight,0017.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0017.png,2025-01-01T00:05:23.855422,21.571104,47.751839,1747.813110,0.818022,0.317543,-0.338739,0.339503,50.00,PERSP,36.00,24.00
18,lowlight,0018.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0018.png,2025-01-01T00:05:44.096386,21.878599,47.611713,1747.812744,0.819113,0.316449,-0.339760,0.336863,50.00,PERSP,36.00,24.00
19,lowlight,0019.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0019.png,2025-01-01T00:06:04.337349,22.195705,47.462948,1747.809326,0.820258,0.315304,-0.340785,0.334103,50.00,PERSP,36.00,24.00
20,lowlight,0020.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0020.png,2025-01-01T00:06:24.578313,22.532324,47.310436,1747.809937,0.821364,0.314122,-0.341981,0.331267,50.00,PERSP,36.00,24.00
21,lowlight,0021.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0021.png,2025-01-01T00:06:44.819277,22.867468,47.142162,1747.806152,0.822610,0.312875,-0.343018,0.328268,50.00,PERSP,36.00,24.00
22,lowlight,0022.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0022.png,2025-01-01T00:07:05.060241,23.220816,46.969952,1747.810059,0.823827,0.311589,-0.344202,0.325187,50.00,PERSP,36.00,24.00
23,lowlight,0023.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0023.png,2025-01-01T00:07:25.301205,23.583805,46.788673,1747.811401,0.825084,0.310252,-0.345403,0.321989,50.00,PERSP,36.00,24.00
24,lowlight,0024.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0024.png,2025-01-01T00:07:45.542169,23.959961,46.599277,1747.809692,0.826353,0.308867,-0.346669,0.318688,50.00,PERSP,36.00,24.00
25,lowlight,0025.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0025.png,2025-01-01T00:08:05.783133,24.343689,46.399055,1747.809326,0.827669,0.307431,-0.347932,0.315266,50.00,PERSP,36.00,24.00
26,lowlight,0026.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0026.png,2025-01-01T00:08:26.024096,24.743366,46.192478,1747.810913,0.828967,0.305949,-0.349310,0.311755,50.00,PERSP,36.00,24.00
27,lowlight,0027.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0027.png,2025-01-01T00:08:46.265060,25.145702,45.972420,1747.810913,0.830344,0.304412,-0.350618,0.308105,50.00,PERSP,36.00,24.00
28,lowlight,0028.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0028.png,2025-01-01T00:09:06.506024,25.555063,45.741344,1747.812988,0.831761,0.302822,-0.351926,0.304336,50.00,PERSP,36.00,24.00
29,lowlight,0029.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0029.png,2025-01-01T00:09:26.746988,25.977146,45.501633,1747.819458,0.833174,0.301186,-0.353307,0.300470,50.00,PERSP,36.00,24.00
30,lowlight,0030.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0030.png,2025-01-01T00:09:46.987952,26.411949,45.253662,1747.820312,0.834573,0.299502,-0.354778,0.296511,50.00,PERSP,36.00,24.00
31,lowlight,0031.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0031.png,2025-01-01T00:10:07.228916,26.855713,44.994488,1747.826050,0.835989,0.297768,-0.356277,0.292444,50.00,PERSP,36.00,24.00
32,lowlight,0032.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0032.png,2025-01-01T00:10:27.469880,27.303013,44.723354,1747.825439,0.837448,0.295982,-0.357750,0.288255,50.00,PERSP,36.00,24.00
33,lowlight,0033.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0033.png,2025-01-01T00:10:47.710843,27.764208,44.443104,1747.828491,0.838884,0.294148,-0.359314,0.283978,50.00,PERSP,36.00,24.00
34,lowlight,0034.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0034.png,2025-01-01T00:11:07.951807,28.227270,44.150040,1747.823730,0.840360,0.292262,-0.360849,0.279582,50.00,PERSP,36.00,24.00
35,lowlight,0035.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0035.png,2025-01-01T00:11:28.192771,28.693054,43.842926,1747.821167,0.841887,0.290326,-0.362327,0.275058,50.00,PERSP,36.00,24.00
36,lowlight,0036.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0036.png,2025-01-01T00:11:48.433735,29.169283,43.526600,1747.818115,0.843382,0.288342,-0.363896,0.270453,50.00,PERSP,36.00,24.00
37,lowlight,0037.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0037.png,2025-01-01T00:12:08.674699,29.649593,43.198124,1747.813721,0.844896,0.286311,-0.365458,0.265739,50.00,PERSP,36.00,24.00
38,lowlight,0038.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0038.png,2025-01-01T00:12:28.915663,30.143097,42.860725,1747.812378,0.846349,0.284232,-0.367156,0.260964,50.00,PERSP,36.00,24.00
39,lowlight,0039.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0039.png,2025-01-01T00:12:49.156627,30.632744,42.508324,1747.807983,0.847870,0.282106,-0.368741,0.256053,50.00,PERSP,36.00,24.00
40,lowlight,0040.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0040.png,2025-01-01T00:13:09.397590,31.136595,42.147476,1747.805298,0.849311,0.279933,-0.370487,0.251095,50.00,PERSP,36.00,24.00
41,lowlight,0041.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0041.png,2025-01-01T00:13:29.638554,31.635195,41.771248,1747.800171,0.850819,0.277715,-0.372108,0.246002,50.00,PERSP,36.00,24.00
42,lowlight,0042.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0042.png,2025-01-01T00:13:49.879518,32.135670,41.382961,1747.795044,0.852331,0.275454,-0.373718,0.240815,50.00,PERSP,36.00,24.00
43,lowlight,0043.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0043.png,2025-01-01T00:14:10.120482,32.647396,40.985752,1747.785400,0.853760,0.273146,-0.375478,0.235588,50.00,PERSP,36.00,24.00
44,lowlight,0044.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0044.png,2025-01-01T00:14:30.361446,33.156532,40.575348,1747.785278,0.855210,0.270798,-0.377180,0.230259,50.00,PERSP,36.00,24.00
