帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
39,2025-01-01T00:12:49.156627,-43.019165,32.693722,-0.106567,0.447516,0.884104,0.131174,-0.029715,50.00,PERSP,36.00,24.00
40,2025-01-01T00:13:09.397590,-42.898415,32.861805,-0.105103,0.445943,0.883399,0.142009,-0.023974,50.00,PERSP,36.00,24.00
41,2025-01-01T00:13:29.638554,-42.764832,33.031929,-0.099365,0.444279,0.882546,0.152968,-0.018151,50.00,PERSP,36.00,24.00
42,2025-01-01T00:13:49.879518,-42.625950,33.203571,-0.093872,0.442541,0.881552,0.163926,-0.012313,50.00,PERSP,36.00,24.00
43,2025-01-01T00:14:10.120482,-42.496452,33.376404,-0.084595,0.440758,0.880435,0.174713,-0.006551,50.00,PERSP,36.00,24.00
44,2025-01-01T00:14:30.361446,-42.360035,33.550751,-0.084351,0.438894,0.879173,0.185543,-0.000750,50.00,PERSP,36.00,24.00
45,2025-01-01T00:14:50.602410,-42.209942,33.726501,-0.083252,0.436937,0.877755,0.196483,0.005126,50.00,PERSP,36.00,24.00
46,2025-01-01T00:15:10.843373,-42.073517,33.902699,-0.078491,0.434948,0.876227,0.207190,0.010892,50.00,PERSP,36.00,24.00
47,2025-01-01T00:15:31.084337,-41.933590,34.079990,-0.075073,0.432889,0.874561,0.217883,0.016666,50.00,PERSP,36.00,24.00
48,2025-01-01T00:15:51.325301,-41.782116,34.258282,-0.069580,0.430735,0.872735,0.228679,0.022512,50.00,PERSP,36.00,24.00
49,2025-01-01T00:16:11.566265,-41.638241,34.436901,-0.064453,0.428544,0.870800,0.239289,0.028272,50.00,PERSP,36.00,24.00
50,2025-01-01T00:16:31.807229,-41.492043,34.616116,-0.057983,0.426278,0.868722,0.249899,0.034049,50.00,PERSP,36.00,24.00
51,2025-01-01T00:16:52.048193,-41.343658,34.795612,-0.055420,0.423944,0.866507,0.260483,0.039827,50.00,PERSP,36.00,24.00
52,2025-01-01T00:17:12.289157,-41.187252,34.975445,-0.052124,0.421530,0.864143,0.271085,0.045631,50.00,PERSP,36.00,24.00
53,2025-01-01T00:17:32.530120,-41.028900,35.155289,-0.051025,0.419045,0.861638,0.281664,0.051439,50.00,PERSP,36.00,24.00
54,2025-01-01T00:17:52.771084,-40.878426,35.335133,-0.051147,0.416522,0.859027,0.292084,0.057175,50.00,PERSP,36.00,24.00
55,2025-01-01T00:18:13.012048,-40.723042,35.514797,-0.050293,0.413926,0.856274,0.302490,0.062921,50.00,PERSP,36.00,24.00
56,2025-01-01T00:18:33.253012,-40.567009,35.694122,-0.051392,0.411265,0.853387,0.312853,0.068658,50.00,PERSP,36.00,24.00
57,2025-01-01T00:18:53.493976,-40.398766,35.872921,-0.052368,0.408502,0.850324,0.323312,0.074465,50.00,PERSP,36.00,24.00
58,2025-01-01T00:19:13.734940,-40.258247,36.051598,-0.054443,0.405768,0.847234,0.333372,0.080066,50.00,PERSP,36.00,24.00
59,2025-01-01T00:19:33.975904,-40.091949,36.229179,-0.054443,0.402895,0.843925,0.343660,0.085812,50.00,PERSP,36.00,24.00
60,2025-01-01T00:19:54.216867,-39.934040,36.406185,-0.056641,0.399987,0.840516,0.353798,0.091489,50.00,PERSP,36.00,24.00
61,2025-01-01T00:20:14.457831,-39.772034,36.582130,-0.056885,0.397003,0.836961,0.363926,0.097178,50.00,PERSP,36.00,24.00
62,2025-01-01T00:20:34.698795,-39.608936,36.757038,-0.059570,0.393955,0.833272,0.374002,0.102855,50.00,PERSP,36.00,24.00
63,2025-01-01T00:20:54.939759,-39.445728,36.930771,-0.061035,0.390846,0.829455,0.384017,0.108514,50.00,PERSP,36.00,24.00
64,2025-01-01T00:21:15.180723,-39.282433,37.103218,-0.061768,0.387673,0.825504,0.393981,0.114160,50.00,PERSP,36.00,24.00
65,2025-01-01T00:21:35.421687,-39.115318,37.274086,-0.065674,0.384429,0.821410,0.403913,0.119807,50.00,PERSP,36.00,24.00
66,2025-01-01T00:21:55.662651,-38.956440,37.443928,-0.065063,0.381160,0.817232,0.413678,0.125375,50.00,PERSP,36.00,24.00
67,2025-01-01T00:22:15.903614,-38.795536,37.612072,-0.065796,0.377818,0.812909,0.423422,0.130949,50.00,PERSP,36.00,24.00
68,2025-01-01T00:22:36.144578,-38.620796,37.777508,-0.065796,0.374358,0.808382,0.433262,0.136595,50.00,PERSP,36.00,24.00
69,2025-01-01T00:22:56.385542,-38.472813,37.942886,-0.069214,0.370947,0.803871,0.442734,0.142047,50.00,PERSP,36.00,24.00
70,2025-01-01T00:23:16.626506,-38.315247,38.105793,-0.067749,0.367446,0.799192,0.452228,0.147529,50.00,PERSP,36.00,24.00
71,2025-01-01T00:23:36.867470,-38.147186,38.265949,-0.068604,0.363838,0.794322,0.461785,0.153066,50.00,PERSP,36.00,24.00
72,2025-01-01T00:23:57.108434,-37.984467,38.424419,-0.070801,0.360191,0.789350,0.471222,0.158551,50.00,PERSP,36.00,24.00
73,2025-01-01T00:24:17.349398,-37.828964,38.581066,-0.070190,0.356513,0.784290,0.480521,0.163974,50.00,PERSP,36.00,24.00
74,2025-01-01T00:24:37.590361,-37.670372,38.735214,-0.071533,0.352764,0.779089,0.489780,0.169392,50.00,PERSP,36.00,24.00
75,2025-01-01T00:24:57.831325,-37.513779,38.886948,-0.072021,0.348958,0.773760,0.498972,0.174788,50.00,PERSP,36.00,24.00
76,2025-01-01T00:25:18.072289,-37.364731,39.036968,-0.075928,0.345132,0.768362,0.508001,0.180108,50.00,PERSP,36.00,24.00
77,2025-01-01T00:25:38.313253,-37.213020,39.184189,-0.079712,0.341233,0.762815,0.517000,0.185428,50.00,PERSP,36.00,24.00
78,2025-01-01T00:25:58.554217,-37.055340,39.328133,-0.102051,0.337244,0.757098,0.526001,0.190768,50.00,PERSP,36.00,24.00
79,2025-01-01T00:26:18.795181,-36.907997,39.470394,-0.130737,0.333245,0.751323,0.534824,0.196021,50.00,PERSP,36.00,24.00
80,2025-01-01T00:26:39.036145,-36.756859,39.609283,-0.162109,0.329168,0.745393,0.543621,0.201279,50.00,PERSP,36.00,24.00
81,2025-01-01T00:26:59.277108,-36.609329,39.745659,-0.196045,0.325047,0.739358,0.552318,0.206495,50.00,PERSP,36.00,24.00
82,2025-01-01T00:27:19.518072,-36.465214,39.879330,-0.231812,0.320882,0.733218,0.560912,0.211669,50.00,PERSP,36.00,24.00
83,2025-01-01T00:27:39.759036,-36.321487,40.010006,-0.268188,0.316659,0.726951,0.569436,0.216821,50.00,PERSP,36.00,24.00
84,2025-01-01T00:28:00,-36.180023,40.137600,-0.307373,0.312389,0.720574,0.577867,0.221936,50.00,PERSP,36.00,24.00
85,2025-01-01T00:28:20.240964,-36.038193,40.261917,-0.340576,0.308050,0.714054,0.586246,0.227041,50.00,PERSP,36.00,24.00
86,2025-01-01T00:28:40.481928,-35.904911,40.384098,-0.373169,0.303701,0.707480,0.594460,0.232065,50.00,PERSP,36.00,24.00
87,2025-01-01T00:29:00.722892,-35.765923,40.502388,-0.404541,0.299263,0.700734,0.602659,0.237100,50.00,PERSP,36.00,24.00
88,2025-01-01T00:29:20.963855,-35.631496,40.617355,-0.414185,0.294782,0.693883,0.610754,0.242093,50.00,PERSP,36.00,24.00
89,2025-01-01T00:29:41.204819,-35.509029,40.730518,-0.414795,0.290304,0.686998,0.618669,0.246995,50.00,PERSP,36.00,24.00
90,2025-01-01T00:30:01.445783,-35.380672,40.839409,-0.417847,0.285739,0.679942,0.626560,0.251904,50.00,PERSP,36.00,24.00
91,2025-01-01T00:30:21.686747,-35.257072,40.945118,-0.420288,0.281135,0.672788,0.634342,0.256767,50.00,PERSP,36.00,24.00
92,2025-01-01T00:30:41.927711,-35.141243,41.048504,-0.413208,0.276513,0.665571,0.641983,0.261562,50.00,PERSP,36.00,24.00
93,2025-01-01T00:31:02.168675,-35.025047,41.147949,-0.403198,0.271831,0.658223,0.649551,0.266335,50.00,PERSP,36.00,24.00
94,2025-01-01T00:31:22.409639,-34.908848,41.243740,-0.400146,0.267089,0.650743,0.657047,0.271084,50.00,PERSP,36.00,24.00
95,2025-01-01T00:31:42.650602,-34.797962,41.336063,-0.397705,0.262310,0.643170,0.664431,0.275785,50.00,PERSP,36.00,24.00
96,2025-01-01T00:32:02.891566,-34.692585,41.425564,-0.402588,0.257503,0.635518,0.671690,0.280430,50.00,PERSP,36.00,24.00
97,2025-01-01T00:32:23.132530,-34.587585,41.511669,-0.406616,0.252648,0.627753,0.678858,0.285040,50.00,PERSP,36.00,24.00
