frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowcontrast,0001.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0001.png,2025-01-01T00:00:00,1.228682,1.102845,1743.932617,0.856946,0.272054,-0.417146,0.132738,50.00,PERSP,36.00,24.00
2,lowcontrast,0002.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0002.png,2025-01-01T00:00:20.240964,1.228012,1.102845,1743.934082,0.856986,0.272066,-0.417064,0.132712,50.00,PERSP,36.00,24.00
3,lowcontrast,0003.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0003.png,2025-01-01T00:00:40.481928,1.228202,1.102845,1743.934448,0.857002,0.272072,-0.417031,0.132702,50.00,PERSP,36.00,24.00
4,lowcontrast,0004.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0004.png,2025-01-01T00:01:00.722892,1.228249,1.102845,1743.933838,0.856953,0.272056,-0.417132,0.132734,50.00,PERSP,36.00,24.00
5,lowcontrast,0005.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0005.png,2025-01-01T00:01:20.963855,1.227300,1.102845,1743.934326,0.857022,0.272078,-0.416990,0.132688,50.00,PERSP,36.00,24.00
6,lowcontrast,0006.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0006.png,2025-01-01T00:01:41.204819,1.227893,1.102845,1743.935791,0.857015,0.272076,-0.417003,0.132693,50.00,PERSP,36.00,24.00
7,lowcontrast,0007.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0007.png,2025-01-01T00:02:01.445783,1.228225,1.102845,1743.936768,0.856983,0.272066,-0.417069,0.132714,50.00,PERSP,36.00,24.00
8,lowcontrast,0008.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0008.png,2025-01-01T00:02:21.686747,1.228178,1.102845,1743.936890,0.856949,0.272055,-0.417140,0.132736,50.00,PERSP,36.00,24.00
9,lowcontrast,0009.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0009.png,2025-01-01T00:02:41.927711,1.228605,1.102845,1743.938232,0.856986,0.272066,-0.417064,0.132712,50.00,PERSP,36.00,24.00
10,lowcontrast,0010.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0010.png,2025-01-01T00:03:02.168675,1.227988,1.102845,1743.938599,0.856991,0.272068,-0.417054,0.132709,50.00,PERSP,36.00,24.00
11,lowcontrast,0011.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0011.png,2025-01-01T00:03:22.409639,1.228463,1.102845,1743.941895,0.856974,0.272063,-0.417089,0.132720,50.00,PERSP,36.00,24.00
12,lowcontrast,0012.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0012.png,2025-01-01T00:03:42.650602,1.228178,1.102845,1743.942993,0.856974,0.272063,-0.417089,0.132720,50.00,PERSP,36.00,24.00
13,lowcontrast,0013.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0013.png,2025-01-01T00:04:02.891566,1.227893,1.102845,1743.944092,0.856967,0.272060,-0.417103,0.132725,50.00,PERSP,36.00,24.00
14,lowcontrast,0014.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0014.png,2025-01-01T00:04:23.132530,1.228083,1.102845,1743.945679,0.856969,0.272061,-0.417099,0.132723,50.00,PERSP,36.00,24.00
15,lowcontrast,0015.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0015.png,2025-01-01T00:04:43.373494,1.228653,1.102845,1743.946655,0.857001,0.272071,-0.417032,0.132702,50.00,PERSP,36.00,24.00
16,lowcontrast,0016.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0016.png,2025-01-01T00:05:03.614458,1.227893,1.102845,1743.945435,0.856968,0.272061,-0.417102,0.132724,50.00,PERSP,36.00,24.00
17,lowcontrast,0017.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0017.png,2025-01-01T00:05:23.855422,1.228083,1.102845,1743.948486,0.856978,0.272064,-0.417081,0.132717,50.00,PERSP,36.00,24.00
18,lowcontrast,0018.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0018.png,2025-01-01T00:05:44.096386,1.227893,1.102845,1743.948120,0.856978,0.272064,-0.417080,0.132717,50.00,PERSP,36.00,24.00
19,lowcontrast,0019.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0019.png,2025-01-01T00:06:04.337349,1.227893,1.102845,1743.945312,0.856995,0.272069,-0.417045,0.132706,50.00,PERSP,36.00,24.00
20,lowcontrast,0020.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0020.png,2025-01-01T00:06:24.578313,1.228653,1.102846,1743.946045,0.856947,0.272054,-0.417145,0.132738,50.00,PERSP,36.00,24.00
21,lowcontrast,0021.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0021.png,2025-01-01T00:06:44.819277,1.228842,1.102845,1743.942017,0.856995,0.272069,-0.417046,0.132706,50.00,PERSP,36.00,24.00
22,lowcontrast,0022.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0022.png,2025-01-01T00:07:05.060241,1.228842,1.102845,1743.945679,0.856988,0.272067,-0.417060,0.132711,50.00,PERSP,36.00,24.00
23,lowcontrast,0023.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0023.png,2025-01-01T00:07:25.301205,1.228463,1.102845,1743.947388,0.856990,0.272068,-0.417056,0.132709,50.00,PERSP,36.00,24.00
24,lowcontrast,0024.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0024.png,2025-01-01T00:07:45.542169,1.227893,1.102845,1743.946045,0.856977,0.272064,-0.417082,0.132718,50.00,PERSP,36.00,24.00
25,lowcontrast,0025.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0025.png,2025-01-01T00:08:05.783133,1.228083,1.102846,1743.945312,0.856982,0.272065,-0.417071,0.132714,50.00,PERSP,36.00,24.00
26,lowcontrast,0026.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0026.png,2025-01-01T00:08:26.024096,1.227513,1.102845,1743.947144,0.856947,0.272054,-0.417144,0.132737,50.00,PERSP,36.00,24.00
27,lowcontrast,0027.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0027.png,2025-01-01T00:08:46.265060,1.228083,1.102845,1743.947510,0.856963,0.272059,-0.417111,0.132727,50.00,PERSP,36.00,24.00
28,lowcontrast,0028.png,D:\BaiduNetdiskDownload\fire\Landsat 7_IRBatch250\images\0028.png,2025-01-01T00:09:06.506024,1.228463,1.102846,1743.948853,0.856994,0.272069,-0.417047,0.132707,50.00,PERSP,36.00,24.00
