frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
1,lowlight,0001.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0001.png,2025-01-01T00:00:00,1.227914,1.029805,1748.581299,0.866286,0.240664,-0.412035,0.147842,50.00,PERSP,36.00,24.00
2,lowlight,0002.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0002.png,2025-01-01T00:00:20.240964,1.228753,1.029795,1748.582520,0.866326,0.240675,-0.411954,0.147813,50.00,PERSP,36.00,24.00
3,lowlight,0003.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0003.png,2025-01-01T00:00:40.481928,1.227430,1.029784,1748.583008,0.866342,0.240679,-0.411922,0.147802,50.00,PERSP,36.00,24.00
4,lowlight,0004.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0004.png,2025-01-01T00:01:00.722892,1.227490,1.029792,1748.582642,0.866292,0.240666,-0.412021,0.147837,50.00,PERSP,36.00,24.00
5,lowlight,0005.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0005.png,2025-01-01T00:01:20.963855,1.227276,1.029776,1748.583252,0.866363,0.240685,-0.411881,0.147787,50.00,PERSP,36.00,24.00
6,lowlight,0006.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0006.png,2025-01-01T00:01:41.204819,1.228581,1.029767,1748.584351,0.866356,0.240683,-0.411894,0.147792,50.00,PERSP,36.00,24.00
7,lowlight,0007.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0007.png,2025-01-01T00:02:01.445783,1.228178,1.029793,1748.585205,0.866323,0.240674,-0.411959,0.147815,50.00,PERSP,36.00,24.00
8,lowlight,0008.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0008.png,2025-01-01T00:02:21.686747,1.229649,1.029832,1748.585327,0.866289,0.240665,-0.412029,0.147840,50.00,PERSP,36.00,24.00
9,lowlight,0009.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0009.png,2025-01-01T00:02:41.927711,1.228890,1.029788,1748.587280,0.866326,0.240675,-0.411954,0.147813,50.00,PERSP,36.00,24.00
10,lowlight,0010.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0010.png,2025-01-01T00:03:02.168675,1.227941,1.029750,1748.587402,0.866331,0.240676,-0.411944,0.147810,50.00,PERSP,36.00,24.00
11,lowlight,0011.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0011.png,2025-01-01T00:03:22.409639,1.228937,1.029802,1748.590454,0.866314,0.240672,-0.411979,0.147822,50.00,PERSP,36.00,24.00
12,lowlight,0012.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0012.png,2025-01-01T00:03:42.650602,1.228842,1.029812,1748.590820,0.866314,0.240672,-0.411978,0.147822,50.00,PERSP,36.00,24.00
13,lowlight,0013.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0013.png,2025-01-01T00:04:02.891566,1.229032,1.029811,1748.592773,0.866307,0.240670,-0.411993,0.147827,50.00,PERSP,36.00,24.00
14,lowlight,0014.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0014.png,2025-01-01T00:04:23.132530,1.228368,1.029763,1748.593872,0.866309,0.240670,-0.411988,0.147825,50.00,PERSP,36.00,24.00
15,lowlight,0015.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0015.png,2025-01-01T00:04:43.373494,1.228368,1.029757,1748.595825,0.866342,0.240680,-0.411923,0.147802,50.00,PERSP,36.00,24.00
16,lowlight,0016.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0016.png,2025-01-01T00:05:03.614458,1.227798,1.029781,1748.594971,0.866307,0.240670,-0.411991,0.147826,50.00,PERSP,36.00,24.00
17,lowlight,0017.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0017.png,2025-01-01T00:05:23.855422,1.227134,1.029793,1748.597168,0.866318,0.240673,-0.411971,0.147819,50.00,PERSP,36.00,24.00
18,lowlight,0018.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0018.png,2025-01-01T00:05:44.096386,1.228463,1.029770,1748.596924,0.866318,0.240673,-0.411970,0.147819,50.00,PERSP,36.00,24.00
19,lowlight,0019.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0019.png,2025-01-01T00:06:04.337349,1.228273,1.029771,1748.594238,0.866335,0.240678,-0.411935,0.147806,50.00,PERSP,36.00,24.00
20,lowlight,0020.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0020.png,2025-01-01T00:06:24.578313,1.228842,1.029802,1748.594482,0.866286,0.240664,-0.412034,0.147842,50.00,PERSP,36.00,24.00
21,lowlight,0021.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0021.png,2025-01-01T00:06:44.819277,1.228273,1.029816,1748.590088,0.866335,0.240678,-0.411936,0.147807,50.00,PERSP,36.00,24.00
22,lowlight,0022.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0022.png,2025-01-01T00:07:05.060241,1.228273,1.029794,1748.593872,0.866328,0.240676,-0.411950,0.147812,50.00,PERSP,36.00,24.00
23,lowlight,0023.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0023.png,2025-01-01T00:07:25.301205,1.228083,1.029809,1748.595825,0.866330,0.240676,-0.411946,0.147810,50.00,PERSP,36.00,24.00
24,lowlight,0024.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0024.png,2025-01-01T00:07:45.542169,1.228653,1.029788,1748.594482,0.866317,0.240673,-0.411972,0.147819,50.00,PERSP,36.00,24.00
25,lowlight,0025.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0025.png,2025-01-01T00:08:05.783133,1.228463,1.029797,1748.593750,0.866322,0.240674,-0.411961,0.147816,50.00,PERSP,36.00,24.00
26,lowlight,0026.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0026.png,2025-01-01T00:08:26.024096,1.228273,1.029806,1748.595215,0.866287,0.240664,-0.412033,0.147841,50.00,PERSP,36.00,24.00
27,lowlight,0027.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0027.png,2025-01-01T00:08:46.265060,1.228463,1.029744,1748.595215,0.866303,0.240669,-0.412000,0.147830,50.00,PERSP,36.00,24.00
28,lowlight,0028.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0028.png,2025-01-01T00:09:06.506024,1.228463,1.029802,1748.597534,0.866334,0.240678,-0.411938,0.147807,50.00,PERSP,36.00,24.00
29,lowlight,0029.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0029.png,2025-01-01T00:09:26.746988,1.227703,1.029782,1748.603760,0.866344,0.240680,-0.411918,0.147800,50.00,PERSP,36.00,24.00
30,lowlight,0030.png,D:\BaiduNetdiskDownload\fire\Landsat 7_VisibleBatch250\images\0030.png,2025-01-01T00:09:46.987952,1.228653,1.029804,1748.604492,0.866324,0.240675,-0.411959,0.147815,50.00,PERSP,36.00,24.00
