帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
177,2025-01-01T01:09:41.333333,-96.056595,116.557663,1.742676,0.436631,0.038379,-0.748823,-0.497136,50.00,PERSP,36.00,24.00
178,2025-01-01T01:10:18.666667,-98.522034,114.488266,1.742188,0.440637,0.048815,-0.744049,-0.499846,50.00,PERSP,36.00,24.00
179,2025-01-01T01:10:56,-100.966881,112.343300,1.741577,0.444579,0.059255,-0.739155,-0.502482,50.00,PERSP,36.00,24.00
180,2025-01-01T01:11:33.333333,-103.358002,110.115692,1.738525,0.448502,0.069821,-0.734080,-0.505073,50.00,PERSP,36.00,24.00
181,2025-01-01T01:12:10.666667,-105.765266,107.833633,1.736084,0.452274,0.080159,-0.728995,-0.507532,50.00,PERSP,36.00,24.00
182,2025-01-01T01:12:48,-108.105827,105.474541,1.737549,0.456029,0.090628,-0.723726,-0.509946,50.00,PERSP,36.00,24.00
183,2025-01-01T01:13:25.333333,-110.436142,103.060478,1.735352,0.459661,0.100940,-0.718418,-0.512248,50.00,PERSP,36.00,24.00
184,2025-01-01T01:14:02.666667,-112.681885,100.575310,1.736084,0.463288,0.111424,-0.712900,-0.514512,50.00,PERSP,36.00,24.00
185,2025-01-01T01:14:40,-114.915665,98.044693,1.736450,0.466778,0.121704,-0.707370,-0.516656,50.00,PERSP,36.00,24.00
186,2025-01-01T01:15:17.333333,-117.049530,95.452431,1.733643,0.470265,0.132170,-0.701618,-0.518762,50.00,PERSP,36.00,24.00
187,2025-01-01T01:15:54.666667,-119.162895,92.821800,1.733765,0.473623,0.142447,-0.695850,-0.520753,50.00,PERSP,36.00,24.00
188,2025-01-01T01:16:32,-121.157410,90.140915,1.726562,0.476984,0.152944,-0.689835,-0.522708,50.00,PERSP,36.00,24.00
189,2025-01-01T01:17:09.333333,-123.168869,87.436745,1.731689,0.480155,0.163054,-0.683921,-0.524515,50.00,PERSP,36.00,24.00
190,2025-01-01T01:17:46.666667,-125.042297,84.693390,1.725830,0.483345,0.173438,-0.677726,-0.526293,50.00,PERSP,36.00,24.00
191,2025-01-01T01:18:24,-126.878685,81.929420,1.728638,0.486413,0.183644,-0.671515,-0.527963,50.00,PERSP,36.00,24.00
192,2025-01-01T01:19:01.333333,-128.637970,79.146202,1.719116,0.489412,0.193840,-0.665188,-0.529554,50.00,PERSP,36.00,24.00
193,2025-01-01T01:19:38.666667,-130.327286,76.350098,1.721436,0.492325,0.203974,-0.658778,-0.531058,50.00,PERSP,36.00,24.00
194,2025-01-01T01:20:16,-131.919800,73.545853,1.713623,0.495187,0.214168,-0.652206,-0.532493,50.00,PERSP,36.00,24.00
