帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
145,2025-01-01T00:48:34.698795,0.255756,-0.076945,1747.950195,0.832349,0.016030,-0.477161,-0.281524,50.00,PERSP,36.00,24.00
146,2025-01-01T00:48:54.939759,0.256403,-0.074951,1747.873901,0.833362,0.017760,-0.477074,-0.278555,50.00,PERSP,36.00,24.00
147,2025-01-01T00:49:15.180723,0.256800,-0.073100,1747.871460,0.834419,0.019575,-0.477028,-0.275330,50.00,PERSP,36.00,24.00
148,2025-01-01T00:49:35.421687,0.258015,-0.071391,1747.872559,0.835554,0.021559,-0.476917,-0.271909,50.00,PERSP,36.00,24.00
149,2025-01-01T00:49:55.662651,0.258034,-0.068638,1747.880371,0.836742,0.023656,-0.476822,-0.268222,50.00,PERSP,36.00,24.00
150,2025-01-01T00:50:15.903614,0.259078,-0.066740,1747.859131,0.837977,0.025861,-0.476760,-0.264245,50.00,PERSP,36.00,24.00
151,2025-01-01T00:50:36.144578,0.259291,-0.064176,1747.863037,0.839313,0.028295,-0.476570,-0.260067,50.00,PERSP,36.00,24.00
152,2025-01-01T00:50:56.385542,0.260052,-0.060664,1747.864380,0.840696,0.030851,-0.476408,-0.255565,50.00,PERSP,36.00,24.00
153,2025-01-01T00:51:16.626506,0.261072,-0.057483,1747.866089,0.842148,0.033583,-0.476211,-0.250763,50.00,PERSP,36.00,24.00
154,2025-01-01T00:51:36.867470,0.261832,-0.054493,1747.854004,0.843657,0.036477,-0.476008,-0.245620,50.00,PERSP,36.00,24.00
155,2025-01-01T00:51:57.108434,0.262021,-0.051360,1747.857910,0.845236,0.039571,-0.475753,-0.240144,50.00,PERSP,36.00,24.00
156,2025-01-01T00:52:17.349398,0.262720,-0.047942,1747.862305,0.846856,0.042822,-0.475525,-0.234260,50.00,PERSP,36.00,24.00
157,2025-01-01T00:52:37.590361,0.263351,-0.044050,1747.860229,0.848570,0.046344,-0.475161,-0.228044,50.00,PERSP,36.00,24.00
158,2025-01-01T00:52:57.831325,0.263981,-0.040348,1747.861694,0.850320,0.050047,-0.474811,-0.221374,50.00,PERSP,36.00,24.00
159,2025-01-01T00:53:18.072289,0.264869,-0.035791,1747.855713,0.852156,0.054036,-0.474321,-0.214314,50.00,PERSP,36.00,24.00
160,2025-01-01T00:53:38.313253,0.265893,-0.030284,1747.863647,0.854008,0.058216,-0.473862,-0.206727,50.00,PERSP,36.00,24.00
161,2025-01-01T00:53:58.554217,0.265840,-0.025348,1747.855347,0.855911,0.062668,-0.473314,-0.198653,50.00,PERSP,36.00,24.00
162,2025-01-01T00:54:18.795181,0.266144,-0.019936,1747.853394,0.857879,0.067440,-0.472609,-0.190095,50.00,PERSP,36.00,24.00
163,2025-01-01T00:54:39.036145,0.267011,-0.014905,1747.847900,0.859838,0.072445,-0.471909,-0.180918,50.00,PERSP,36.00,24.00
164,2025-01-01T00:54:59.277108,0.267338,-0.008734,1747.846558,0.861848,0.077806,-0.471014,-0.171201,50.00,PERSP,36.00,24.00
165,2025-01-01T00:55:19.518072,0.267384,-0.002089,1747.837769,0.863824,0.083434,-0.470096,-0.160802,50.00,PERSP,36.00,24.00
166,2025-01-01T00:55:39.759036,0.267480,0.005032,1747.833252,0.865802,0.089419,-0.469000,-0.149769,50.00,PERSP,36.00,24.00
167,2025-01-01T00:56:00,0.267483,0.011772,1747.823975,0.867762,0.095771,-0.467711,-0.138067,50.00,PERSP,36.00,24.00
168,2025-01-01T00:56:20.240964,0.265715,0.019747,1747.816162,0.869654,0.102464,-0.466284,-0.125626,50.00,PERSP,36.00,24.00
169,2025-01-01T00:56:40.481928,0.265765,0.027057,1747.811279,0.871423,0.109480,-0.464765,-0.112383,50.00,PERSP,36.00,24.00
170,2025-01-01T00:57:00.722892,0.265059,0.036170,1747.805786,0.873130,0.116930,-0.462906,-0.098434,50.00,PERSP,36.00,24.00
171,2025-01-01T00:57:20.963855,0.263409,0.044904,1747.807007,0.874685,0.124752,-0.460824,-0.083688,50.00,PERSP,36.00,24.00
172,2025-01-01T00:57:41.204819,0.261629,0.054018,1747.807861,0.876021,0.132917,-0.458567,-0.068096,50.00,PERSP,36.00,24.00
1,2025-01-01T00:00:00,-0.055135,0.268943,1743.933105,0.677205,0.443821,-0.226688,0.541322,50.00,PERSP,36.00,24.00
2,2025-01-01T00:00:20.240964,-0.055160,0.269314,1743.934326,0.677778,0.443571,-0.227043,0.540660,50.00,PERSP,36.00,24.00
3,2025-01-01T00:00:40.481928,-0.054190,0.269735,1743.935059,0.678400,0.443305,-0.227506,0.539902,50.00,PERSP,36.00,24.00
4,2025-01-01T00:01:00.722892,-0.052837,0.270904,1743.934448,0.679023,0.443054,-0.228161,0.539049,50.00,PERSP,36.00,24.00
5,2025-01-01T00:01:20.963855,-0.052737,0.270577,1743.934692,0.679865,0.442680,-0.228652,0.538085,50.00,PERSP,36.00,24.00
6,2025-01-01T00:01:41.204819,-0.051823,0.270352,1743.936401,0.680698,0.442327,-0.229356,0.537022,50.00,PERSP,36.00,24.00
7,2025-01-01T00:02:01.445783,-0.051123,0.270898,1743.936890,0.681582,0.441955,-0.230180,0.535853,50.00,PERSP,36.00,24.00
8,2025-01-01T00:02:21.686747,-0.049578,0.270293,1743.937500,0.682547,0.441547,-0.231077,0.534573,50.00,PERSP,36.00,24.00
9,2025-01-01T00:02:41.927711,-0.048985,0.271325,1743.938477,0.683683,0.441047,-0.231907,0.533174,50.00,PERSP,36.00,24.00
10,2025-01-01T00:03:02.168675,-0.047487,0.271064,1743.938599,0.684867,0.440529,-0.232873,0.531660,50.00,PERSP,36.00,24.00
11,2025-01-01T00:03:22.409639,-0.046665,0.271396,1743.942261,0.686113,0.439984,-0.233957,0.530025,50.00,PERSP,36.00,24.00
12,2025-01-01T00:03:42.650602,-0.045384,0.271918,1743.943237,0.687472,0.439382,-0.235085,0.528262,50.00,PERSP,36.00,24.00
13,2025-01-01T00:04:02.891566,-0.043760,0.271681,1743.944580,0.688915,0.438739,-0.236308,0.526368,50.00,PERSP,36.00,24.00
14,2025-01-01T00:04:23.132530,-0.041687,0.271990,1743.946289,0.690465,0.438039,-0.237594,0.524337,50.00,PERSP,36.00,24.00
15,2025-01-01T00:04:43.373494,-0.040110,0.272251,1743.947754,0.692149,0.437267,-0.238907,0.522160,50.00,PERSP,36.00,24.00
16,2025-01-01T00:05:03.614458,-0.038015,0.272512,1743.946655,0.693855,0.436487,-0.240438,0.519840,50.00,PERSP,36.00,24.00
17,2025-01-01T00:05:23.855422,-0.036211,0.273081,1743.949219,0.695718,0.435620,-0.241974,0.517360,50.00,PERSP,36.00,24.00
18,2025-01-01T00:05:44.096386,-0.034367,0.273081,1743.949219,0.697675,0.434698,-0.243624,0.514717,50.00,PERSP,36.00,24.00
19,2025-01-01T00:06:04.337349,-0.032263,0.273461,1743.945801,0.699763,0.433702,-0.245338,0.511901,50.00,PERSP,36.00,24.00
20,2025-01-01T00:06:24.578313,-0.029983,0.273651,1743.946655,0.701885,0.432682,-0.247285,0.508914,50.00,PERSP,36.00,24.00
21,2025-01-01T00:06:44.819277,-0.027151,0.274126,1743.942871,0.704239,0.431527,-0.249146,0.505724,50.00,PERSP,36.00,24.00
22,2025-01-01T00:07:05.060241,-0.024702,0.274221,1743.946289,0.706648,0.430332,-0.251226,0.502343,50.00,PERSP,36.00,24.00
23,2025-01-01T00:07:25.301205,-0.021835,0.274268,1743.947754,0.709191,0.429050,-0.253403,0.498750,50.00,PERSP,36.00,24.00
24,2025-01-01T00:07:45.542169,-0.018987,0.274316,1743.946655,0.711843,0.427692,-0.255727,0.494938,50.00,PERSP,36.00,24.00
25,2025-01-01T00:08:05.783133,-0.016139,0.275122,1743.945435,0.714646,0.426230,-0.258140,0.490889,50.00,PERSP,36.00,24.00
26,2025-01-01T00:08:26.024096,-0.012461,0.274933,1743.948120,0.717536,0.424695,-0.260763,0.486600,50.00,PERSP,36.00,24.00
27,2025-01-01T00:08:46.265060,-0.008804,0.274838,1743.947388,0.720624,0.423025,-0.263416,0.482040,50.00,PERSP,36.00,24.00
28,2025-01-01T00:09:06.506024,-0.005248,0.275028,1743.949707,0.723870,0.421235,-0.266180,0.477201,50.00,PERSP,36.00,24.00
29,2025-01-01T00:09:26.746988,-0.002089,0.275122,1743.955933,0.727236,0.419339,-0.269130,0.472073,50.00,PERSP,36.00,24.00
30,2025-01-01T00:09:46.987952,0.002913,0.275882,1743.957275,0.730712,0.417330,-0.272290,0.466640,50.00,PERSP,36.00,24.00
31,2025-01-01T00:10:07.228916,0.007405,0.274838,1743.962891,0.734338,0.415185,-0.275607,0.460879,50.00,PERSP,36.00,24.00
32,2025-01-01T00:10:27.469880,0.011644,0.275028,1743.961792,0.738146,0.412880,-0.279032,0.454765,50.00,PERSP,36.00,24.00
33,2025-01-01T00:10:47.710843,0.017028,0.275217,1743.964844,0.742069,0.410434,-0.282691,0.448290,50.00,PERSP,36.00,24.00
34,2025-01-01T00:11:07.951807,0.022083,0.274268,1743.960327,0.746176,0.407806,-0.286467,0.441421,50.00,PERSP,36.00,24.00
35,2025-01-01T00:11:28.192771,0.027341,0.274078,1743.957642,0.750482,0.404982,-0.290340,0.434131,50.00,PERSP,36.00,24.00
36,2025-01-01T00:11:48.433735,0.033118,0.273224,1743.954956,0.754899,0.401983,-0.294465,0.426414,50.00,PERSP,36.00,24.00
