frame,timestamp,tx,ty,tz,qw,qx,qy,qz
106,2025-01-01T00:35:25.301205,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
107,2025-01-01T00:35:45.542169,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
108,2025-01-01T00:36:05.783133,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
109,2025-01-01T00:36:26.024096,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
110,2025-01-01T00:36:46.265060,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
111,2025-01-01T00:37:06.506024,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
112,2025-01-01T00:37:26.746988,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
113,2025-01-01T00:37:46.987952,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
114,2025-01-01T00:38:07.228916,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
115,2025-01-01T00:38:27.469880,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
116,2025-01-01T00:38:47.710843,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
117,2025-01-01T00:39:07.951807,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
118,2025-01-01T00:39:28.192771,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
119,2025-01-01T00:39:48.433735,-0.000002,0.000002,0.000113,0.304155,0.468205,-0.695714,-0.451948
