frame,timestamp_s,x,y,z,qw,qx,qy,qz
178,426.506024,-0.189552,-1.065468,0.189552,0.440637,0.048815,-0.744049,-0.499846
179,428.915663,-0.170675,-1.071831,0.170675,0.444579,0.059255,-0.739155,-0.502482
180,431.325301,-0.151693,-1.077525,0.151693,0.448502,0.069821,-0.734080,-0.505073
181,433.734940,-0.132616,-1.082547,0.132616,0.452274,0.080159,-0.728995,-0.507532
182,436.144578,-0.113455,-1.086894,0.113455,0.456029,0.090628,-0.723726,-0.509946
183,438.554217,-0.094225,-1.090562,0.094225,0.459661,0.100940,-0.718418,-0.512248
184,440.963855,-0.074935,-1.093550,0.074935,0.463288,0.111424,-0.712900,-0.514512
185,443.373494,-0.055599,-1.095855,0.055599,0.466778,0.121704,-0.707370,-0.516656
186,445.783133,-0.036228,-1.097478,0.036228,0.470265,0.132169,-0.701618,-0.518762
187,448.192771,-0.016834,-1.098415,0.016834,0.473623,0.142447,-0.695850,-0.520753
188,450.602410,0.002570,-1.098667,-0.002570,0.476984,0.152944,-0.689835,-0.522708
189,453.012048,0.021972,-1.098233,-0.021972,0.480155,0.163054,-0.683921,-0.524515
190,455.421687,0.041361,-1.097115,-0.041361,0.483345,0.173438,-0.677726,-0.526293
191,457.831325,0.060724,-1.095311,-0.060724,0.486413,0.183644,-0.671515,-0.527963
192,460.240964,0.080049,-1.092825,-0.080049,0.489412,0.193840,-0.665188,-0.529554
193,462.650602,0.099325,-1.089657,-0.099325,0.492325,0.203974,-0.658778,-0.531058
194,465.060241,0.118538,-1.085808,-0.118538,0.495188,0.214168,-0.652206,-0.532493
195,467.469880,0.137677,-1.081283,-0.137677,0.497972,0.224330,-0.645531,-0.533844
196,469.879518,0.156730,-1.076082,-0.156730,0.500652,0.234354,-0.638824,-0.535098
197,472.289157,0.175686,-1.070211,-0.175686,0.503276,0.244426,-0.631960,-0.536280
198,474.698795,0.194532,-1.063671,-0.194532,0.505799,0.254372,-0.625058,-0.537368
199,477.108434,0.213256,-1.056468,-0.213256,0.508270,0.264387,-0.617983,-0.538384
200,479.518072,0.231848,-1.048606,-0.231848,0.510642,0.274278,-0.610871,-0.539308
201,481.927711,0.250295,-1.040090,-0.250295,0.512955,0.284215,-0.603598,-0.540155
202,484.337349,0.268586,-1.030924,-0.268586,0.515164,0.293999,-0.596312,-0.540910
203,486.746988,0.286709,-1.021116,-0.286709,0.517314,0.303838,-0.588857,-0.541587
204,489.156627,0.304654,-1.010670,-0.304654,0.519376,0.313599,-0.581332,-0.542178
205,491.566265,0.322409,-0.999593,-0.322409,0.521339,0.323220,-0.573789,-0.542679
206,493.975904,0.339962,-0.987893,-0.339962,0.523253,0.332952,-0.566028,-0.543103
207,496.385542,0.357303,-0.975577,-0.357303,0.525073,0.342573,-0.558225,-0.543439
208,498.795181,0.374423,-0.962651,-0.374423,0.526796,0.352053,-0.550407,-0.543688
209,501.204819,0.391309,-0.949124,-0.391309,0.528442,0.361510,-0.542477,-0.543854
210,503.614458,0.407949,-0.935007,-0.407949,0.530008,0.370917,-0.534459,-0.543936
211,506.024096,0.424336,-0.920304,-0.424336,0.531499,0.380320,-0.526311,-0.543932
212,508.433735,0.440458,-0.905028,-0.440458,0.532902,0.389625,-0.518114,-0.543844
213,510.843373,0.456305,-0.889187,-0.456305,0.534220,0.398864,-0.509840,-0.543671
214,513.253012,0.471869,-0.872790,-0.471869,0.535452,0.408014,-0.501513,-0.543415
215,515.662651,0.487136,-0.855850,-0.487136,0.536609,0.417165,-0.493048,-0.543072
216,518.072289,0.502100,-0.838376,-0.502100,0.537685,0.426274,-0.484484,-0.542642
217,520.481928,0.516750,-0.820379,-0.516750,0.538667,0.435229,-0.475927,-0.542133
218,522.891566,0.531078,-0.801869,-0.531078,0.539576,0.444234,-0.467182,-0.541531
219,525.301205,0.545076,-0.782858,-0.545076,0.540389,0.453043,-0.458486,-0.540853
220,527.710843,0.558732,-0.763360,-0.558732,0.541125,0.461864,-0.449638,-0.540084
221,530.120482,0.572040,-0.743385,-0.572040,0.541769,0.470507,-0.440827,-0.539241
222,532.530120,0.584991,-0.722947,-0.584991,0.542338,0.479216,-0.431804,-0.538300
223,534.939759,0.597577,-0.702058,-0.597577,0.542814,0.487726,-0.422843,-0.537289
224,537.349398,0.609790,-0.680731,-0.609790,0.543211,0.496238,-0.413735,-0.536185
225,539.759036,0.621623,-0.658978,-0.621623,0.543521,0.504654,-0.404580,-0.534999
226,542.168675,0.633069,-0.636813,-0.633069,0.543747,0.512987,-0.395368,-0.533730
227,544.578313,0.644119,-0.614251,-0.644119,0.543888,0.521224,-0.386112,-0.532381
228,546.987952,0.654766,-0.591307,-0.654766,0.543944,0.529454,-0.376711,-0.530935
229,549.397590,0.665005,-0.567995,-0.665005,0.543914,0.537569,-0.367287,-0.529412
230,551.807229,0.674830,-0.544326,-0.674830,0.543800,0.545553,-0.357861,-0.527816
231,554.216867,0.684233,-0.520320,-0.684233,0.543601,0.553465,-0.348364,-0.526134
232,556.626506,0.693209,-0.495989,-0.693209,0.543319,0.561273,-0.338834,-0.524375
233,559.036145,0.701752,-0.471349,-0.701752,0.542952,0.568981,-0.329269,-0.522538
234,561.445783,0.709858,-0.446414,-0.709858,0.542497,0.576691,-0.319538,-0.520596
235,563.855422,0.717521,-0.421201,-0.717521,0.541961,0.584229,-0.309861,-0.518595
236,566.265060,0.724736,-0.395725,-0.724736,0.541333,0.591773,-0.300009,-0.516486
237,568.674699,0.731498,-0.370002,-0.731498,0.540638,0.599041,-0.290354,-0.514349
238,571.084337,0.737805,-0.344050,-0.737805,0.539847,0.606345,-0.280482,-0.512095
239,573.493976,0.743651,-0.317882,-0.743651,0.538974,0.613527,-0.270604,-0.509769
240,575.903614,0.749033,-0.291516,-0.749033,0.538003,0.620719,-0.260536,-0.507328
241,578.313253,0.753948,-0.264968,-0.753948,0.536957,0.627740,-0.250529,-0.504832
242,580.722892,0.758392,-0.238254,-0.758392,0.535849,0.634531,-0.240675,-0.502307
243,583.132530,0.762363,-0.211393,-0.762363,0.534621,0.641437,-0.230470,-0.499622
244,585.542169,0.765859,-0.184399,-0.765859,0.533325,0.648154,-0.220360,-0.496893
245,587.951807,0.768876,-0.157290,-0.768876,0.531959,0.654706,-0.210313,-0.494113
246,590.361446,0.771414,-0.130083,-0.771414,0.530502,0.661202,-0.200164,-0.491238
247,592.771084,0.773471,-0.102795,-0.773471,0.528950,0.667641,-0.189910,-0.488264
248,595.180723,0.775045,-0.075443,-0.775045,0.527321,0.673951,-0.179665,-0.485225
249,597.590361,0.776136,-0.048043,-0.776136,0.525606,0.680167,-0.169372,-0.482104
250,600.000000,0.776742,-0.020614,-0.776742,0.523090,0.688612,-0.155050,-0.477650
1,0.000000,0.776179,0.046620,-0.776179,0.519116,0.700616,-0.133971,-0.470858
2,2.409639,0.775113,0.074036,-0.775113,0.517030,0.706375,-0.123531,-0.467392
3,4.819277,0.773563,0.101406,-0.773563,0.514871,0.711997,-0.113118,-0.463868
