帧索引,时间戳(ISO),卫星位置_x(m),卫星位置_y(m),卫星位置_z(m),卫星四元数_w,卫星四元数_x,卫星四元数_y,卫星四元数_z,摄像机焦距(mm),摄像机类型,摄像机传感器宽度(mm),摄像机传感器高度(mm)
68,2025-01-01T00:00:00,-17.243174,-0.572508,-10.114136,0.523090,0.688612,-0.155050,-0.477650,50.00,PERSP,36.00,24.00
69,2025-01-01T00:00:27.692308,-10.149105,15.563883,-5.456787,0.220646,0.809379,0.533788,-0.106256,50.00,PERSP,36.00,24.00
70,2025-01-01T00:00:55.384615,-9.783177,15.798278,-5.455078,0.214452,0.806566,0.541790,-0.099620,50.00,PERSP,36.00,24.00
71,2025-01-01T00:01:23.076923,-9.418704,16.015965,-5.456055,0.208137,0.803586,0.549821,-0.092875,50.00,PERSP,36.00,24.00
72,2025-01-01T00:01:50.769231,-9.060180,16.220692,-5.458130,0.201821,0.800494,0.557724,-0.086150,50.00,PERSP,36.00,24.00
73,2025-01-01T00:02:18.461538,-8.709174,16.413364,-5.458374,0.195517,0.797299,0.565486,-0.079456,50.00,PERSP,36.00,24.00
74,2025-01-01T00:02:46.153846,-8.363325,16.591747,-5.459839,0.189158,0.793967,0.573190,-0.072725,50.00,PERSP,36.00,24.00
75,2025-01-01T00:03:13.846154,-8.024406,16.758169,-5.459839,0.182763,0.790508,0.580811,-0.065976,50.00,PERSP,36.00,24.00
76,2025-01-01T00:03:41.538462,-7.695835,16.913673,-5.463257,0.176400,0.786959,0.588273,-0.059279,50.00,PERSP,36.00,24.00
77,2025-01-01T00:04:09.230769,-7.373625,17.057026,-5.468018,0.169975,0.783269,0.595683,-0.052537,50.00,PERSP,36.00,24.00
78,2025-01-01T00:04:36.923077,-7.058591,17.187941,-5.489868,0.163464,0.779422,0.603067,-0.045725,50.00,PERSP,36.00,24.00
79,2025-01-01T00:05:04.615385,-6.754741,17.311642,-5.518677,0.156997,0.775494,0.610279,-0.038979,50.00,PERSP,36.00,24.00
80,2025-01-01T00:05:32.307692,-6.458195,17.423571,-5.549072,0.150463,0.771420,0.617444,-0.032181,50.00,PERSP,36.00,24.00
