satellite_name,frame_idx,visible_path,infrared_path,quat_w,quat_x,quat_y,quat_z,difficulty_reason_visible,difficulty_reason_infrared,subset_name
Aqua,3,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0003.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0003.png,0.194539,0.47103,0.064856,0.857951,lowlight,lowcontrast,subset_1
Aqua,4,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0004.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0004.png,0.193677,0.471055,0.06525,0.858102,lowlight,lowcontrast,subset_1
Aqua,5,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0005.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0005.png,0.192796,0.47086,0.065844,0.858362,lowlight,lowcontrast,subset_1
Aqua,6,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0006.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0006.png,0.19169,0.470786,0.066441,0.858604,lowlight,lowcontrast,subset_1
Aqua,7,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0007.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0007.png,0.190408,0.470746,0.067092,0.85886,lowlight,lowcontrast,subset_1
Aqua,10,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0010.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0010.png,0.185759,0.470363,0.069649,0.859885,lowlight,lowcontrast,subset_1
Aqua,11,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0011.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0011.png,0.183874,0.47024,0.070653,0.860275,lowlight,lowcontrast,subset_1
Aqua,12,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0012.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0012.png,0.181844,0.470072,0.071763,0.860706,lowlight,lowcontrast,subset_1
Aqua,13,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0013.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0013.png,0.179639,0.469901,0.072955,0.861162,lowlight,lowcontrast,subset_1
Aqua,14,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0014.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0014.png,0.177274,0.469694,0.074249,0.861655,lowlight,lowcontrast,subset_1
Aqua,15,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0015.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0015.png,0.174765,0.469415,0.075666,0.862196,lowlight,lowcontrast,subset_1
Aqua,16,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0016.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0016.png,0.172008,0.469234,0.077114,0.86272,lowlight,lowcontrast,subset_1
Aqua,17,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0017.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0017.png,0.169113,0.468954,0.078703,0.863301,lowlight,lowcontrast,subset_1
Aqua,18,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0018.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0018.png,0.16602,0.468669,0.080382,0.863901,lowlight,lowcontrast,subset_1
Aqua,20,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0020.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0020.png,0.159215,0.468082,0.084021,0.865154,lowlight,lowcontrast,subset_1
Aqua,21,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0021.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0021.png,0.155574,0.467632,0.086062,0.865858,lowlight,lowcontrast,subset_1
Aqua,22,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0022.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0022.png,0.151668,0.467252,0.08816,0.866545,lowlight,lowcontrast,subset_1
Aqua,24,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0024.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0024.png,0.143206,0.46639,0.092699,0.867974,lowlight,lowcontrast,subset_1
Aqua,25,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0025.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0025.png,0.138648,0.465887,0.095153,0.868718,lowlight,lowcontrast,subset_1
Aqua,27,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0027.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0027.png,0.128797,0.464817,0.100398,0.870216,lowlight,lowcontrast,subset_1
Aqua,28,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0028.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0028.png,0.123547,0.464143,0.103243,0.871004,lowlight,lowcontrast,subset_1
Aqua,29,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0029.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0029.png,0.118024,0.46346,0.106196,0.871778,lowlight,lowcontrast,subset_1
Aqua,30,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0030.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0030.png,0.112215,0.462782,0.109253,0.872528,lowlight,lowcontrast,subset_1
Aqua,32,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0032.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0032.png,0.099828,0.461214,0.115787,0.874019,lowlight,lowcontrast,subset_1
Aqua,35,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0035.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0035.png,0.07922,0.458333,0.126632,0.876139,lowlight,lowcontrast,subset_1
Aqua,36,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0036.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0036.png,0.071785,0.457231,0.130522,0.876784,lowlight,lowcontrast,subset_1
Aqua,41,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0041.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0041.png,0.030227,0.450584,0.151984,0.879182,lowlight,lowcontrast,subset_1
Aqua,45,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0045.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0045.png,0.008055,-0.443417,-0.171507,-0.879717,lowlight,lowcontrast,subset_1
Aqua,47,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0047.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0047.png,0.028829,-0.439365,-0.181875,-0.879232,lowlight,lowcontrast,subset_1
Aqua,49,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0049.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0049.png,0.050446,-0.434732,-0.192638,-0.878267,lowlight,lowcontrast,subset_1
Aqua,54,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0054.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0054.png,0.107446,-0.42126,-0.220506,-0.873139,backlit,hotspot,subset_2
Aqua,55,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0055.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0055.png,0.119169,-0.418278,-0.226141,-0.871609,backlit,hotspot,subset_2
Aqua,56,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0056.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0056.png,0.130934,-0.415201,-0.231766,-0.869913,backlit,hotspot,subset_2
Aqua,58,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0058.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0058.png,0.154498,-0.408855,-0.242924,-0.866,backlit,hotspot,subset_2
Aqua,62,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0062.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0062.png,0.200801,-0.395148,-0.264553,-0.856475,backlit,hotspot,subset_2
Aqua,63,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0063.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0063.png,0.212067,-0.391612,-0.269739,-0.853761,backlit,hotspot,subset_2
Aqua,67,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0067.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0067.png,0.255208,-0.377371,-0.289306,-0.84188,backlit,hotspot,subset_2
Aqua,68,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0068.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0068.png,0.265371,-0.373658,-0.293871,-0.838808,backlit,hotspot,subset_2
Aqua,69,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0069.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0069.png,0.275368,-0.3703,-0.298293,-0.835507,backlit,hotspot,subset_2
Aqua,70,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0070.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0070.png,0.285065,-0.366874,-0.302573,-0.832221,backlit,hotspot,subset_2
Aqua,72,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0072.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0072.png,0.303547,-0.359902,-0.310685,-0.825714,backlit,hotspot,subset_2
Aqua,73,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0073.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0073.png,0.31238,-0.356593,-0.314523,-0.822396,backlit,hotspot,subset_2
Aqua,75,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0075.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0075.png,0.329137,-0.35007,-0.321752,-0.81584,backlit,hotspot,subset_2
Aqua,76,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0076.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0076.png,0.337093,-0.347003,-0.325156,-0.812546,backlit,hotspot,subset_2
Aqua,77,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0077.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0077.png,0.344741,-0.343955,-0.328414,-0.809317,backlit,hotspot,subset_2
Aqua,80,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0080.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0080.png,0.365909,-0.335151,-0.337348,-0.799988,backlit,hotspot,subset_2
Aqua,81,D:\BaiduNetdiskDownload\fire\Aqua_VisibleBatch250\images\0081.png,D:\BaiduNetdiskDownload\fire\Aqua_IRBatch250\images\0081.png,0.3724,-0.332394,-0.340062,-0.796988,backlit,hotspot,subset_2
